P_Ac_in (W),Charge Aging cost (€ct/kWh),Cap_Loss_CH [p.u./HalfCycle],,P_Ac_out,Discharge Aging cost (€ct/kWh),Cap_Loss_DCH [p.u./HalfCycle]
-13932,0.263233999,7.21189E-07,,13932,0.116066496,3.18E-07
-13968,0.263646806,7.2232E-07,,13968,0.116066496,3.18E-07
-14004,0.264088387,7.2353E-07,,14004,0.116066496,3.18E-07
-14040,0.264531403,7.24744E-07,,14040,0.116066496,3.18E-07
-14076,0.264975859,7.25961E-07,,14076,0.116066496,3.18E-07
-14112,0.265393974,7.27107E-07,,14112,0.116066496,3.18E-07
-14148,0.265841236,7.28332E-07,,14148,0.116066496,3.18E-07
-14184,0.266289953,7.29562E-07,,14184,0.116066496,3.18E-07
-14220,0.26674013,7.30795E-07,,14220,0.116066496,3.18E-07
-14256,0.26716363,7.31955E-07,,14256,0.116066496,3.18E-07
-14292,0.267616653,7.33196E-07,,14292,0.116066496,3.18E-07
-14328,0.268071153,7.34442E-07,,14328,0.116066496,3.18E-07
-14364,0.268527134,7.35691E-07,,14364,0.116066496,3.18E-07
-14400,0.268956095,7.36866E-07,,14400,0.116066496,3.18E-07
-14436,0.269414962,7.38123E-07,,14436,0.116066496,3.18E-07
-14472,0.269875327,7.39384E-07,,14472,0.116066496,3.18E-07
-14508,0.270337195,7.4065E-07,,14508,0.116066496,3.18E-07
-14544,0.270770312,7.41836E-07,,14544,0.116066496,3.18E-07
-14580,0.271235103,7.4311E-07,,14580,0.116066496,3.18E-07
-14616,0.271701412,7.44387E-07,,14616,0.116066496,3.18E-07
-14652,0.272169245,7.45669E-07,,14652,0.116066496,3.18E-07
-14688,0.272602265,7.46856E-07,,14688,0.116066496,3.18E-07
-14724,0.273073045,7.48145E-07,,14724,0.116066496,3.18E-07
-14760,0.273545365,7.49439E-07,,14760,0.116066496,3.18E-07
-14796,0.274019232,7.50738E-07,,14796,0.116066496,3.18E-07
-14832,0.274457837,7.51939E-07,,14832,0.116066496,3.18E-07
-14868,0.274934692,7.53246E-07,,14868,0.116066496,3.18E-07
-14904,0.275413109,7.54556E-07,,14904,0.116066496,3.18E-07
-14940,0.275893095,7.55871E-07,,14940,0.116066496,3.18E-07
-14976,0.276337366,7.57089E-07,,14976,0.116066496,3.18E-07
-15012,0.276820383,7.58412E-07,,15012,0.116066496,3.18E-07
-15048,0.277304985,7.5974E-07,,15048,0.116066496,3.18E-07
-15084,0.277791177,7.61072E-07,,15084,0.116066496,3.18E-07
-15120,0.278241195,7.62305E-07,,15120,0.116066496,3.18E-07
-15156,0.278730462,7.63645E-07,,15156,0.116066496,3.18E-07
-15192,0.279221337,7.6499E-07,,15192,0.116066496,3.18E-07
-15228,0.279713825,7.66339E-07,,15228,0.116066496,3.18E-07
-15264,0.280169672,7.67588E-07,,15264,0.116066496,3.18E-07
-15300,0.280665279,7.68946E-07,,15300,0.116066496,3.18E-07
-15336,0.281162517,7.70308E-07,,15336,0.116066496,3.18E-07
-15372,0.281661391,7.71675E-07,,15372,0.116066496,3.18E-07
-15408,0.282123152,7.7294E-07,,15408,0.116066496,3.18E-07
-15444,0.28262519,7.74316E-07,,15444,0.116066496,3.18E-07
-15480,0.283128882,7.75696E-07,,15480,0.116066496,3.18E-07
-15516,0.283634235,7.7708E-07,,15516,0.116066496,3.18E-07
-15552,0.284101994,7.78362E-07,,15552,0.116066496,3.18E-07
-15588,0.284610555,7.79755E-07,,15588,0.116066496,3.18E-07
-15624,0.285120795,7.81153E-07,,15624,0.116066496,3.18E-07
-15660,0.285632719,7.82555E-07,,15660,0.116066496,3.18E-07
-15696,0.286106563,7.83854E-07,,15696,0.116066496,3.18E-07
-15732,0.286621742,7.85265E-07,,15732,0.116066496,3.18E-07
-15768,0.287138624,7.86681E-07,,15768,0.116066496,3.18E-07
-15804,0.287657214,7.88102E-07,,15804,0.116066496,3.18E-07
-15840,0.28813723,7.89417E-07,,15840,0.116066496,3.18E-07
-15876,0.288659122,7.90847E-07,,15876,0.116066496,3.18E-07
-15912,0.289182741,7.92281E-07,,15912,0.116066496,3.18E-07
-15948,0.289708094,7.93721E-07,,15948,0.116066496,3.18E-07
-15984,0.290194372,7.95053E-07,,15984,0.116066496,3.18E-07
-16020,0.290723074,7.96502E-07,,16020,0.116066496,3.18E-07
-16056,0.291253529,7.97955E-07,,16056,0.116066496,3.18E-07
-16092,0.291785742,7.99413E-07,,16092,0.116066496,3.18E-07
-16128,0.292278371,8.00763E-07,,16128,0.116066496,3.18E-07
-16164,0.292813983,8.0223E-07,,16164,0.116066496,3.18E-07
-16200,0.293351371,8.03702E-07,,16200,0.116066496,3.18E-07
-16236,0.293890544,8.0518E-07,,16236,0.116066496,3.18E-07
-16272,0.294389618,8.06547E-07,,16272,0.116066496,3.18E-07
-16308,0.294932238,8.08034E-07,,16308,0.116066496,3.18E-07
-16344,0.295476661,8.09525E-07,,16344,0.116066496,3.18E-07
-16380,0.296022894,8.11022E-07,,16380,0.116066496,3.18E-07
-16416,0.296528506,8.12407E-07,,16416,0.116066496,3.18E-07
-16452,0.297078237,8.13913E-07,,16452,0.116066496,3.18E-07
-16488,0.297629797,8.15424E-07,,16488,0.116066496,3.18E-07
-16524,0.298183193,8.1694E-07,,16524,0.116066496,3.18E-07
-16560,0.298695437,8.18344E-07,,16560,0.116066496,3.18E-07
-16596,0.299252382,8.1987E-07,,16596,0.116066496,3.18E-07
-16632,0.299811182,8.214E-07,,16632,0.116066496,3.18E-07
-16668,0.300371845,8.22937E-07,,16668,0.116066496,3.18E-07
-16704,0.300890819,8.24358E-07,,16704,0.116066496,3.18E-07
-16740,0.301455082,8.25904E-07,,16740,0.116066496,3.18E-07
-16776,0.302021229,8.27455E-07,,16776,0.116066496,3.18E-07
-16812,0.302589265,8.29012E-07,,16812,0.116066496,3.18E-07
-16848,0.303115065,8.30452E-07,,16848,0.116066496,3.18E-07
-16884,0.303686754,8.32019E-07,,16884,0.116066496,3.18E-07
-16920,0.304260353,8.3359E-07,,16920,0.116066496,3.18E-07
-16956,0.30483587,8.35167E-07,,16956,0.116066496,3.18E-07
-16992,0.305368597,8.36626E-07,,16992,0.116066496,3.18E-07
-17028,0.30594782,8.38213E-07,,17028,0.116066496,3.18E-07
-17064,0.306528981,8.39805E-07,,17064,0.116066496,3.18E-07
-17100,0.307112087,8.41403E-07,,17100,0.116066496,3.18E-07
-17136,0.307651842,8.42882E-07,,17136,0.116066496,3.18E-07
-17172,0.308238708,8.4449E-07,,17172,0.116066496,3.18E-07
-17208,0.308827541,8.46103E-07,,17208,0.116066496,3.18E-07
-17244,0.309418348,8.47722E-07,,17244,0.116066496,3.18E-07
-17280,0.309965234,8.4922E-07,,17280,0.116066496,3.18E-07
-17316,0.310559856,8.50849E-07,,17316,0.116066496,3.18E-07
-17352,0.311156473,8.52483E-07,,17352,0.116066496,3.18E-07
-17388,0.311755093,8.54124E-07,,17388,0.116066496,3.18E-07
-17424,0.312309214,8.55642E-07,,17424,0.116066496,3.18E-07
-17460,0.312911705,8.57292E-07,,17460,0.116066496,3.18E-07
-17496,0.313516221,8.58949E-07,,17496,0.116066496,3.18E-07
-17532,0.314122769,8.6061E-07,,17532,0.116066496,3.18E-07
-17568,0.31468423,8.62149E-07,,17568,0.116066496,3.18E-07
-17604,0.315294706,8.63821E-07,,17604,0.116066496,3.18E-07
-17640,0.315907236,8.65499E-07,,17640,0.116066496,3.18E-07
-17676,0.316521828,8.67183E-07,,17676,0.116066496,3.18E-07
-17712,0.317090738,8.68742E-07,,17712,0.116066496,3.18E-07
-17748,0.317709316,8.70436E-07,,17748,0.116066496,3.18E-07
-17784,0.318329978,8.72137E-07,,17784,0.116066496,3.18E-07
-17820,0.318952733,8.73843E-07,,17820,0.116066496,3.18E-07
-17856,0.319529201,8.75422E-07,,17856,0.116066496,3.18E-07
-17892,0.320156,8.7714E-07,,17892,0.116066496,3.18E-07
-17928,0.320784913,8.78863E-07,,17928,0.116066496,3.18E-07
-17964,0.32141595,8.80592E-07,,17964,0.116066496,3.18E-07
-18000,0.322000088,8.82192E-07,,18000,0.116066496,3.18E-07
-18036,0.322635229,8.83932E-07,,18036,0.116066496,3.18E-07
-18072,0.323272515,8.85678E-07,,18072,0.116066496,3.18E-07
-18108,0.323911956,8.8743E-07,,18108,0.116066496,3.18E-07
-18144,0.324503877,8.89052E-07,,18144,0.116066496,3.18E-07
-18180,0.325147482,8.90815E-07,,18180,0.116066496,3.18E-07
-18216,0.325793266,8.92584E-07,,18216,0.116066496,3.18E-07
-18252,0.326441235,8.9436E-07,,18252,0.116066496,3.18E-07
-18288,0.327041053,8.96003E-07,,18288,0.116066496,3.18E-07
-18324,0.327693248,8.9779E-07,,18324,0.116066496,3.18E-07
-18360,0.328347654,8.99583E-07,,18360,0.116066496,3.18E-07
-18396,0.329004277,9.01382E-07,,18396,0.116066496,3.18E-07
-18432,0.329612109,9.03047E-07,,18432,0.116066496,3.18E-07
-18468,0.330273021,9.04858E-07,,18468,0.116066496,3.18E-07
-18504,0.330936176,9.06674E-07,,18504,0.116066496,3.18E-07
-18540,0.331601582,9.08497E-07,,18540,0.116066496,3.18E-07
-18576,0.332217546,9.10185E-07,,18576,0.116066496,3.18E-07
-18612,0.332887304,9.1202E-07,,18612,0.116066496,3.18E-07
-18648,0.333559338,9.13861E-07,,18648,0.116066496,3.18E-07
-18684,0.334233656,9.15709E-07,,18684,0.116066496,3.18E-07
-18720,0.334857873,9.17419E-07,,18720,0.116066496,3.18E-07
-18756,0.335536608,9.19278E-07,,18756,0.116066496,3.18E-07
-18792,0.336217652,9.21144E-07,,18792,0.116066496,3.18E-07
-18828,0.336901015,9.23016E-07,,18828,0.116066496,3.18E-07
-18864,0.337533607,9.2475E-07,,18864,0.116066496,3.18E-07
-18900,0.338221452,9.26634E-07,,18900,0.116066496,3.18E-07
-18936,0.338911641,9.28525E-07,,18936,0.116066496,3.18E-07
-18972,0.339604182,9.30422E-07,,18972,0.116066496,3.18E-07
-19008,0.340245274,9.32179E-07,,19008,0.116066496,3.18E-07
-19044,0.340942364,9.34089E-07,,19044,0.116066496,3.18E-07
-19080,0.341641833,9.36005E-07,,19080,0.116066496,3.18E-07
-19116,0.342343689,9.37928E-07,,19116,0.116066496,3.18E-07
-19152,0.342993408,9.39708E-07,,19152,0.116066496,3.18E-07
-19188,0.34369988,9.41644E-07,,19188,0.116066496,3.18E-07
-19224,0.344408767,9.43586E-07,,19224,0.116066496,3.18E-07
-19260,0.345120077,9.45534E-07,,19260,0.116066496,3.18E-07
-19296,0.34577855,9.47338E-07,,19296,0.116066496,3.18E-07
-19332,0.346494545,9.493E-07,,19332,0.116066496,3.18E-07
-19368,0.34721299,9.51268E-07,,19368,0.116066496,3.18E-07
-19404,0.347933895,9.53244E-07,,19404,0.116066496,3.18E-07
-19440,0.348601253,9.55072E-07,,19440,0.116066496,3.18E-07
-19476,0.349326912,9.5706E-07,,19476,0.116066496,3.18E-07
-19512,0.350055058,9.59055E-07,,19512,0.116066496,3.18E-07
-19548,0.350785701,9.61057E-07,,19548,0.116066496,3.18E-07
-19584,0.351462076,9.6291E-07,,19584,0.116066496,3.18E-07
-19620,0.352197544,9.64925E-07,,19620,0.116066496,3.18E-07
-19656,0.352935536,9.66947E-07,,19656,0.116066496,3.18E-07
-19692,0.353676062,9.68976E-07,,19692,0.116066496,3.18E-07
-19728,0.354361589,9.70854E-07,,19728,0.116066496,3.18E-07
-19764,0.355107012,9.72896E-07,,19764,0.116066496,3.18E-07
-19800,0.355854997,9.74945E-07,,19800,0.116066496,3.18E-07
-19836,0.356605554,9.77002E-07,,19836,0.116066496,3.18E-07
-19872,0.35730037,9.78905E-07,,19872,0.116066496,3.18E-07
-19908,0.358055898,9.80975E-07,,19908,0.116066496,3.18E-07
-19944,0.358814025,9.83052E-07,,19944,0.116066496,3.18E-07
-19980,0.359574763,9.85136E-07,,19980,0.116066496,3.18E-07
-20016,0.360279007,9.87066E-07,,20016,0.116066496,3.18E-07
-20052,0.36104479,9.89164E-07,,20052,0.116066496,3.18E-07
-20088,0.361813213,9.91269E-07,,20088,0.116066496,3.18E-07
-20124,0.362584284,9.93382E-07,,20124,0.116066496,3.18E-07
-20160,0.363298098,9.95337E-07,,20160,0.116066496,3.18E-07
-20196,0.36407429,9.97464E-07,,20196,0.116066496,3.18E-07
-20232,0.364853162,9.99598E-07,,20232,0.116066496,3.18E-07
-20268,0.365634722,1.00174E-06,,20268,0.116066496,3.18E-07
-20304,0.366358249,1.00372E-06,,20304,0.116066496,3.18E-07
-20340,0.367145007,1.00588E-06,,20340,0.116066496,3.18E-07
-20376,0.367934484,1.00804E-06,,20376,0.116066496,3.18E-07
-20412,0.368726691,1.01021E-06,,20412,0.116066496,3.18E-07
-20448,0.369460077,1.01222E-06,,20448,0.116066496,3.18E-07
-20484,0.37025756,1.0144E-06,,20484,0.116066496,3.18E-07
-20520,0.371057803,1.0166E-06,,20520,0.116066496,3.18E-07
-20556,0.371860815,1.0188E-06,,20556,0.116066496,3.18E-07
-20592,0.37260421,1.02083E-06,,20592,0.116066496,3.18E-07
-20628,0.373412578,1.02305E-06,,20628,0.116066496,3.18E-07
-20664,0.374223749,1.02527E-06,,20664,0.116066496,3.18E-07
-20700,0.375037731,1.0275E-06,,20700,0.116066496,3.18E-07
-20736,0.375791283,1.02957E-06,,20736,0.116066496,3.18E-07
-20772,0.376610702,1.03181E-06,,20772,0.116066496,3.18E-07
-20808,0.377432965,1.03406E-06,,20808,0.116066496,3.18E-07
-20844,0.378258082,1.03632E-06,,20844,0.116066496,3.18E-07
-20880,0.379021946,1.03842E-06,,20880,0.116066496,3.18E-07
-20916,0.379852581,1.04069E-06,,20916,0.116066496,3.18E-07
-20952,0.380686104,1.04298E-06,,20952,0.116066496,3.18E-07
-20988,0.381522523,1.04527E-06,,20988,0.116066496,3.18E-07
-21024,0.382296855,1.04739E-06,,21024,0.116066496,3.18E-07
-21060,0.383138877,1.0497E-06,,21060,0.116066496,3.18E-07
-21096,0.383983829,1.05201E-06,,21096,0.116066496,3.18E-07
-21132,0.384831722,1.05433E-06,,21132,0.116066496,3.18E-07
-21168,0.385616679,1.05648E-06,,21168,0.116066496,3.18E-07
-21204,0.386470259,1.05882E-06,,21204,0.116066496,3.18E-07
-21240,0.387326814,1.06117E-06,,21240,0.116066496,3.18E-07
-21276,0.388186355,1.06352E-06,,21276,0.116066496,3.18E-07
-21312,0.388982098,1.0657E-06,,21312,0.116066496,3.18E-07
-21348,0.389847412,1.06808E-06,,21348,0.116066496,3.18E-07
-21384,0.390715746,1.07045E-06,,21384,0.116066496,3.18E-07
-21420,0.39158711,1.07284E-06,,21420,0.116066496,3.18E-07
-21456,0.392393803,1.07505E-06,,21456,0.116066496,3.18E-07
-21492,0.393271028,1.07745E-06,,21492,0.116066496,3.18E-07
-21528,0.394151319,1.07987E-06,,21528,0.116066496,3.18E-07
-21564,0.395034686,1.08229E-06,,21564,0.116066496,3.18E-07
-21600,0.395852496,1.08453E-06,,21600,0.116066496,3.18E-07
-21636,0.396741813,1.08696E-06,,21636,0.116066496,3.18E-07
-21672,0.397634242,1.08941E-06,,21672,0.116066496,3.18E-07
-21708,0.398529795,1.09186E-06,,21708,0.116066496,3.18E-07
-21744,0.399346402,1.0941E-06,,21744,0.116066496,3.18E-07
-21780,0.400247951,1.09657E-06,,21780,0.116066496,3.18E-07
-21816,0.401152659,1.09905E-06,,21816,0.116066496,3.18E-07
-21852,0.402060539,1.10154E-06,,21852,0.116066496,3.18E-07
-21888,0.402883047,1.10379E-06,,21888,0.116066496,3.18E-07
-21924,0.403796995,1.10629E-06,,21924,0.116066496,3.18E-07
-21960,0.40471415,1.10881E-06,,21960,0.116066496,3.18E-07
-21996,0.405634524,1.11133E-06,,21996,0.116066496,3.18E-07
-22032,0.406468355,1.11361E-06,,22032,0.116066496,3.18E-07
-22068,0.40739489,1.11615E-06,,22068,0.116066496,3.18E-07
-22104,0.40832468,1.1187E-06,,22104,0.116066496,3.18E-07
-22140,0.409257738,1.12125E-06,,22140,0.116066496,3.18E-07
-22176,0.410103065,1.12357E-06,,22176,0.116066496,3.18E-07
-22212,0.411042377,1.12614E-06,,22212,0.116066496,3.18E-07
-22248,0.411984993,1.12873E-06,,22248,0.116066496,3.18E-07
-22284,0.412930928,1.13132E-06,,22284,0.116066496,3.18E-07
-22320,0.413787925,1.13367E-06,,22320,0.116066496,3.18E-07
-22356,0.414740208,1.13627E-06,,22356,0.116066496,3.18E-07
-22392,0.415695847,1.13889E-06,,22392,0.116066496,3.18E-07
-22428,0.416654853,1.14152E-06,,22428,0.116066496,3.18E-07
-22464,0.417617241,1.14416E-06,,22464,0.116066496,3.18E-07
-22500,0.418489149,1.14655E-06,,22500,0.116066496,3.18E-07
-22536,0.419458007,1.1492E-06,,22536,0.116066496,3.18E-07
-22572,0.420430285,1.15186E-06,,22572,0.116066496,3.18E-07
-22608,0.421405995,1.15454E-06,,22608,0.116066496,3.18E-07
-22644,0.422289977,1.15696E-06,,22644,0.116066496,3.18E-07
-22680,0.423272256,1.15965E-06,,22680,0.116066496,3.18E-07
-22716,0.424258007,1.16235E-06,,22716,0.116066496,3.18E-07
-22752,0.425247243,1.16506E-06,,22752,0.116066496,3.18E-07
-22788,0.426143483,1.16752E-06,,22788,0.116066496,3.18E-07
-22824,0.427139387,1.17024E-06,,22824,0.116066496,3.18E-07
-22860,0.428138816,1.17298E-06,,22860,0.116066496,3.18E-07
-22896,0.429141784,1.17573E-06,,22896,0.116066496,3.18E-07
-22932,0.430050468,1.17822E-06,,22932,0.116066496,3.18E-07
-22968,0.431060207,1.18099E-06,,22968,0.116066496,3.18E-07
-23004,0.432073523,1.18376E-06,,23004,0.116066496,3.18E-07
-23040,0.433090431,1.18655E-06,,23040,0.116066496,3.18E-07
-23076,0.434011751,1.18907E-06,,23076,0.116066496,3.18E-07
-23112,0.435035534,1.19188E-06,,23112,0.116066496,3.18E-07
-23148,0.436062949,1.19469E-06,,23148,0.116066496,3.18E-07
-23184,0.437094012,1.19752E-06,,23184,0.116066496,3.18E-07
-23220,0.438028159,1.20008E-06,,23220,0.116066496,3.18E-07
-23256,0.439066202,1.20292E-06,,23256,0.116066496,3.18E-07
-23292,0.440107932,1.20578E-06,,23292,0.116066496,3.18E-07
-23328,0.441153366,1.20864E-06,,23328,0.116066496,3.18E-07
-23364,0.442100538,1.21123E-06,,23364,0.116066496,3.18E-07
-23400,0.443153057,1.21412E-06,,23400,0.116066496,3.18E-07
-23436,0.444209322,1.21701E-06,,23436,0.116066496,3.18E-07
-23472,0.445269346,1.21992E-06,,23472,0.116066496,3.18E-07
-23508,0.446229742,1.22255E-06,,23508,0.116066496,3.18E-07
-23544,0.447296961,1.22547E-06,,23544,0.116066496,3.18E-07
-23580,0.448367983,1.22841E-06,,23580,0.116066496,3.18E-07
-23616,0.449442821,1.23135E-06,,23616,0.116066496,3.18E-07
-23652,0.450416644,1.23402E-06,,23652,0.116066496,3.18E-07
-23688,0.451498788,1.23698E-06,,23688,0.116066496,3.18E-07
-23724,0.452584793,1.23996E-06,,23724,0.116066496,3.18E-07
-23760,0.453674673,1.24294E-06,,23760,0.116066496,3.18E-07
-23796,0.454662128,1.24565E-06,,23796,0.116066496,3.18E-07
-23832,0.455759426,1.24866E-06,,23832,0.116066496,3.18E-07
-23868,0.456860645,1.25167E-06,,23868,0.116066496,3.18E-07
-23904,0.457965798,1.2547E-06,,23904,0.116066496,3.18E-07
-23940,0.458967095,1.25744E-06,,23940,0.116066496,3.18E-07
-23976,0.460079781,1.26049E-06,,23976,0.116066496,3.18E-07
-24012,0.461196446,1.26355E-06,,24012,0.116066496,3.18E-07
-24048,0.462317108,1.26662E-06,,24048,0.116066496,3.18E-07
-24084,0.46333246,1.2694E-06,,24084,0.116066496,3.18E-07
-24120,0.464460769,1.2725E-06,,24120,0.116066496,3.18E-07
-24156,0.465593119,1.2756E-06,,24156,0.116066496,3.18E-07
-24192,0.466729527,1.27871E-06,,24192,0.116066496,3.18E-07
-24228,0.467759151,1.28153E-06,,24228,0.116066496,3.18E-07
-24264,0.468903324,1.28467E-06,,24264,0.116066496,3.18E-07
-24300,0.470051602,1.28781E-06,,24300,0.116066496,3.18E-07
-24336,0.471203999,1.29097E-06,,24336,0.116066496,3.18E-07
-24372,0.472248114,1.29383E-06,,24372,0.116066496,3.18E-07
-24408,0.473408397,1.29701E-06,,24408,0.116066496,3.18E-07
-24444,0.474572846,1.3002E-06,,24444,0.116066496,3.18E-07
-24480,0.475741479,1.3034E-06,,24480,0.116066496,3.18E-07
-24516,0.47680031,1.3063E-06,,24516,0.116066496,3.18E-07
-24552,0.47797695,1.30953E-06,,24552,0.116066496,3.18E-07
-24588,0.479157821,1.31276E-06,,24588,0.116066496,3.18E-07
-24624,0.480342941,1.31601E-06,,24624,0.116066496,3.18E-07
-24660,0.481416714,1.31895E-06,,24660,0.116066496,3.18E-07
-24696,0.482609964,1.32222E-06,,24696,0.116066496,3.18E-07
-24732,0.483807511,1.3255E-06,,24732,0.116066496,3.18E-07
-24768,0.484892548,1.32847E-06,,24768,0.116066496,3.18E-07
-24804,0.486098319,1.33178E-06,,24804,0.116066496,3.18E-07
-24840,0.487308436,1.33509E-06,,24840,0.116066496,3.18E-07
-24876,0.488522917,1.33842E-06,,24876,0.116066496,3.18E-07
-24912,0.489623301,1.34143E-06,,24912,0.116066496,3.18E-07
-24948,0.490846133,1.34478E-06,,24948,0.116066496,3.18E-07
-24984,0.492073379,1.34815E-06,,24984,0.116066496,3.18E-07
-25020,0.493305056,1.35152E-06,,25020,0.116066496,3.18E-07
-25056,0.494421026,1.35458E-06,,25056,0.116066496,3.18E-07
-25092,0.495661183,1.35798E-06,,25092,0.116066496,3.18E-07
-25128,0.496905823,1.36139E-06,,25128,0.116066496,3.18E-07
-25164,0.498154962,1.36481E-06,,25164,0.116066496,3.18E-07
-25200,0.499286759,1.36791E-06,,25200,0.116066496,3.18E-07
-25236,0.500544511,1.37135E-06,,25236,0.116066496,3.18E-07
-25272,0.501806814,1.37481E-06,,25272,0.116066496,3.18E-07
-25308,0.503073687,1.37828E-06,,25308,0.116066496,3.18E-07
-25344,0.504221556,1.38143E-06,,25344,0.116066496,3.18E-07
-25380,0.505497175,1.38492E-06,,25380,0.116066496,3.18E-07
-25416,0.506777416,1.38843E-06,,25416,0.116066496,3.18E-07
-25452,0.508062297,1.39195E-06,,25452,0.116066496,3.18E-07
-25488,0.509226489,1.39514E-06,,25488,0.116066496,3.18E-07
-25524,0.510520253,1.39869E-06,,25524,0.116066496,3.18E-07
-25560,0.51181871,1.40224E-06,,25560,0.116066496,3.18E-07
-25596,0.513121881,1.40581E-06,,25596,0.116066496,3.18E-07
-25632,0.514302649,1.40905E-06,,25632,0.116066496,3.18E-07
-25668,0.515614839,1.41264E-06,,25668,0.116066496,3.18E-07
-25704,0.516931797,1.41625E-06,,25704,0.116066496,3.18E-07
-25740,0.518253541,1.41987E-06,,25740,0.116066496,3.18E-07
-25776,0.519451143,1.42315E-06,,25776,0.116066496,3.18E-07
-25812,0.520782047,1.4268E-06,,25812,0.116066496,3.18E-07
-25848,0.522117793,1.43046E-06,,25848,0.116066496,3.18E-07
-25884,0.5234584,1.43413E-06,,25884,0.116066496,3.18E-07
-25920,0.524673098,1.43746E-06,,25920,0.116066496,3.18E-07
-25956,0.526023008,1.44116E-06,,25956,0.116066496,3.18E-07
-25992,0.527377835,1.44487E-06,,25992,0.116066496,3.18E-07
-26028,0.528737598,1.4486E-06,,26028,0.116066496,3.18E-07
-26064,0.52996966,1.45197E-06,,26064,0.116066496,3.18E-07
-26100,0.531338872,1.45572E-06,,26100,0.116066496,3.18E-07
-26136,0.532713077,1.45949E-06,,26136,0.116066496,3.18E-07
-26172,0.534092297,1.46327E-06,,26172,0.116066496,3.18E-07
-26208,0.535341993,1.46669E-06,,26208,0.116066496,3.18E-07
-26244,0.536730808,1.4705E-06,,26244,0.116066496,3.18E-07
-26280,0.538124694,1.47431E-06,,26280,0.116066496,3.18E-07
-26316,0.539523673,1.47815E-06,,26316,0.116066496,3.18E-07
-26352,0.540791279,1.48162E-06,,26352,0.116066496,3.18E-07
-26388,0.542200004,1.48548E-06,,26388,0.116066496,3.18E-07
-26424,0.543613879,1.48935E-06,,26424,0.116066496,3.18E-07
-26460,0.545032927,1.49324E-06,,26460,0.116066496,3.18E-07
-26496,0.546318722,1.49676E-06,,26496,0.116066496,3.18E-07
-26532,0.547747668,1.50068E-06,,26532,0.116066496,3.18E-07
-26568,0.549181846,1.50461E-06,,26568,0.116066496,3.18E-07
-26604,0.550621276,1.50855E-06,,26604,0.116066496,3.18E-07
-26640,0.551925546,1.51212E-06,,26640,0.116066496,3.18E-07
-26676,0.553375029,1.5161E-06,,26676,0.116066496,3.18E-07
-26712,0.554829826,1.52008E-06,,26712,0.116066496,3.18E-07
-26748,0.556289958,1.52408E-06,,26748,0.116066496,3.18E-07
-26784,0.557612992,1.52771E-06,,26784,0.116066496,3.18E-07
-26820,0.559083335,1.53174E-06,,26820,0.116066496,3.18E-07
-26856,0.560559075,1.53578E-06,,26856,0.116066496,3.18E-07
-26892,0.562040234,1.53984E-06,,26892,0.116066496,3.18E-07
-26928,0.563382326,1.54351E-06,,26928,0.116066496,3.18E-07
-26964,0.564873856,1.5476E-06,,26964,0.116066496,3.18E-07
-27000,0.566370868,1.5517E-06,,27000,0.116066496,3.18E-07
-27036,0.567873383,1.55582E-06,,27036,0.116066496,3.18E-07
-27072,0.569234832,1.55955E-06,,27072,0.116066496,3.18E-07
-27108,0.570747881,1.56369E-06,,27108,0.116066496,3.18E-07
-27144,0.572266499,1.56785E-06,,27144,0.116066496,3.18E-07
-27180,0.573790706,1.57203E-06,,27180,0.116066496,3.18E-07
-27216,0.575171817,1.57581E-06,,27216,0.116066496,3.18E-07
-27252,0.576706724,1.58002E-06,,27252,0.116066496,3.18E-07
-27288,0.578247286,1.58424E-06,,27288,0.116066496,3.18E-07
-27324,0.579793526,1.58848E-06,,27324,0.116066496,3.18E-07
-27360,0.581194608,1.59231E-06,,27360,0.116066496,3.18E-07
-27396,0.582751716,1.59658E-06,,27396,0.116066496,3.18E-07
-27432,0.584314568,1.60086E-06,,27432,0.116066496,3.18E-07
-27468,0.585883188,1.60516E-06,,27468,0.116066496,3.18E-07
-27504,0.587304555,1.60905E-06,,27504,0.116066496,3.18E-07
-27540,0.588884214,1.61338E-06,,27540,0.116066496,3.18E-07
-27576,0.590469708,1.61773E-06,,27576,0.116066496,3.18E-07
-27612,0.59206106,1.62209E-06,,27612,0.116066496,3.18E-07
-27648,0.593503031,1.62604E-06,,27648,0.116066496,3.18E-07
-27684,0.595105597,1.63043E-06,,27684,0.116066496,3.18E-07
-27720,0.596714089,1.63483E-06,,27720,0.116066496,3.18E-07
-27756,0.598328532,1.63926E-06,,27756,0.116066496,3.18E-07
-27792,0.599791432,1.64326E-06,,27792,0.116066496,3.18E-07
-27828,0.601417265,1.64772E-06,,27828,0.116066496,3.18E-07
-27864,0.603049118,1.65219E-06,,27864,0.116066496,3.18E-07
-27900,0.604687016,1.65668E-06,,27900,0.116066496,3.18E-07
-27936,0.606171176,1.66074E-06,,27936,0.116066496,3.18E-07
-27972,0.607820644,1.66526E-06,,27972,0.116066496,3.18E-07
-28008,0.609476226,1.6698E-06,,28008,0.116066496,3.18E-07
-28044,0.611137949,1.67435E-06,,28044,0.116066496,3.18E-07
-28080,0.612643705,1.67848E-06,,28080,0.116066496,3.18E-07
-28116,0.614317181,1.68306E-06,,28116,0.116066496,3.18E-07
-28152,0.615996868,1.68766E-06,,28152,0.116066496,3.18E-07
-28188,0.617682793,1.69228E-06,,28188,0.116066496,3.18E-07
