P_Ac_in (W),Charge Aging cost (€ct/kWh),Cap_Loss_CH [p.u./HalfCycle],,P_Ac_out,Discharge Aging cost (€ct/kWh),Cap_Loss_DCH [p.u./HalfCycle]
-3240,0.179083675,4.9064E-07,,3240,0.116066496,3.18E-07
-3276,0.179261521,4.91127E-07,,3276,0.116066496,3.18E-07
-3312,0.179435154,4.91603E-07,,3312,0.116066496,3.18E-07
-3348,0.179614041,4.92093E-07,,3348,0.116066496,3.18E-07
-3384,0.179793458,4.92585E-07,,3384,0.116066496,3.18E-07
-3420,0.179973408,4.93078E-07,,3420,0.116066496,3.18E-07
-3456,0.180149095,4.93559E-07,,3456,0.116066496,3.18E-07
-3492,0.1803301,4.94055E-07,,3492,0.116066496,3.18E-07
-3528,0.180511641,4.94552E-07,,3528,0.116066496,3.18E-07
-3564,0.180693722,4.95051E-07,,3564,0.116066496,3.18E-07
-3600,0.180871491,4.95538E-07,,3600,0.116066496,3.18E-07
-3636,0.18105464,4.9604E-07,,3636,0.116066496,3.18E-07
-3672,0.181238333,4.96543E-07,,3672,0.116066496,3.18E-07
-3708,0.181422573,4.97048E-07,,3708,0.116066496,3.18E-07
-3744,0.181602449,4.97541E-07,,3744,0.116066496,3.18E-07
-3780,0.181787771,4.98049E-07,,3780,0.116066496,3.18E-07
-3816,0.181973644,4.98558E-07,,3816,0.116066496,3.18E-07
-3852,0.18216007,4.99069E-07,,3852,0.116066496,3.18E-07
-3888,0.182342082,4.99567E-07,,3888,0.116066496,3.18E-07
-3924,0.182529605,5.00081E-07,,3924,0.116066496,3.18E-07
-3960,0.182717686,5.00596E-07,,3960,0.116066496,3.18E-07
-3996,0.182906327,5.01113E-07,,3996,0.116066496,3.18E-07
-4032,0.183089961,5.01616E-07,,4032,0.116066496,3.18E-07
-4068,0.183279711,5.02136E-07,,4068,0.116066496,3.18E-07
-4104,0.183470027,5.02658E-07,,4104,0.116066496,3.18E-07
-4140,0.18366091,5.03181E-07,,4140,0.116066496,3.18E-07
-4176,0.183844824,5.03684E-07,,4176,0.116066496,3.18E-07
-4212,0.184036825,5.0421E-07,,4212,0.116066496,3.18E-07
-4248,0.184229399,5.04738E-07,,4248,0.116066496,3.18E-07
-4284,0.184422548,5.05267E-07,,4284,0.116066496,3.18E-07
-4320,0.184608645,5.05777E-07,,4320,0.116066496,3.18E-07
-4356,0.184802926,5.06309E-07,,4356,0.116066496,3.18E-07
-4392,0.184997787,5.06843E-07,,4392,0.116066496,3.18E-07
-4428,0.185193231,5.07379E-07,,4428,0.116066496,3.18E-07
-4464,0.18538154,5.07895E-07,,4464,0.116066496,3.18E-07
-4500,0.185578131,5.08433E-07,,4500,0.116066496,3.18E-07
-4536,0.185775309,5.08973E-07,,4536,0.116066496,3.18E-07
-4572,0.185973077,5.09515E-07,,4572,0.116066496,3.18E-07
-4608,0.186163627,5.10037E-07,,4608,0.116066496,3.18E-07
-4644,0.186362557,5.10582E-07,,4644,0.116066496,3.18E-07
-4680,0.186562083,5.11129E-07,,4680,0.116066496,3.18E-07
-4716,0.186762207,5.11677E-07,,4716,0.116066496,3.18E-07
-4752,0.186955026,5.12206E-07,,4752,0.116066496,3.18E-07
-4788,0.187156327,5.12757E-07,,4788,0.116066496,3.18E-07
-4824,0.18735823,5.1331E-07,,4824,0.116066496,3.18E-07
-4860,0.187560739,5.13865E-07,,4860,0.116066496,3.18E-07
-4896,0.187755858,5.144E-07,,4896,0.116066496,3.18E-07
-4932,0.18795956,5.14958E-07,,4932,0.116066496,3.18E-07
-4968,0.188163872,5.15517E-07,,4968,0.116066496,3.18E-07
-5004,0.188368798,5.16079E-07,,5004,0.116066496,3.18E-07
-5040,0.188566246,5.1662E-07,,5040,0.116066496,3.18E-07
-5076,0.18877238,5.17185E-07,,5076,0.116066496,3.18E-07
-5112,0.188979134,5.17751E-07,,5112,0.116066496,3.18E-07
-5148,0.189186508,5.18319E-07,,5148,0.116066496,3.18E-07
-5184,0.189386316,5.18867E-07,,5184,0.116066496,3.18E-07
-5220,0.189594914,5.19438E-07,,5220,0.116066496,3.18E-07
-5256,0.18980414,5.20011E-07,,5256,0.116066496,3.18E-07
-5292,0.190013995,5.20586E-07,,5292,0.116066496,3.18E-07
-5328,0.190216193,5.2114E-07,,5328,0.116066496,3.18E-07
-5364,0.190427288,5.21719E-07,,5364,0.116066496,3.18E-07
-5400,0.190639019,5.22299E-07,,5400,0.116066496,3.18E-07
-5436,0.190851387,5.22881E-07,,5436,0.116066496,3.18E-07
-5472,0.191056007,5.23441E-07,,5472,0.116066496,3.18E-07
-5508,0.191269632,5.24026E-07,,5508,0.116066496,3.18E-07
-5544,0.1914839,5.24613E-07,,5544,0.116066496,3.18E-07
-5580,0.191698814,5.25202E-07,,5580,0.116066496,3.18E-07
-5616,0.191905888,5.2577E-07,,5616,0.116066496,3.18E-07
-5652,0.192122075,5.26362E-07,,5652,0.116066496,3.18E-07
-5688,0.192338914,5.26956E-07,,5688,0.116066496,3.18E-07
-5724,0.192556408,5.27552E-07,,5724,0.116066496,3.18E-07
-5760,0.192765969,5.28126E-07,,5760,0.116066496,3.18E-07
-5796,0.192984752,5.28725E-07,,5796,0.116066496,3.18E-07
-5832,0.193204196,5.29327E-07,,5832,0.116066496,3.18E-07
-5868,0.193424303,5.2993E-07,,5868,0.116066496,3.18E-07
-5904,0.193636383,5.30511E-07,,5904,0.116066496,3.18E-07
-5940,0.193857797,5.31117E-07,,5940,0.116066496,3.18E-07
-5976,0.19407988,5.31726E-07,,5976,0.116066496,3.18E-07
-6012,0.194302636,5.32336E-07,,6012,0.116066496,3.18E-07
-6048,0.194517267,5.32924E-07,,6048,0.116066496,3.18E-07
-6084,0.194741346,5.33538E-07,,6084,0.116066496,3.18E-07
-6120,0.194966104,5.34154E-07,,6120,0.116066496,3.18E-07
-6156,0.195191542,5.34771E-07,,6156,0.116066496,3.18E-07
-6192,0.19540876,5.35366E-07,,6192,0.116066496,3.18E-07
-6228,0.195635539,5.35988E-07,,6228,0.116066496,3.18E-07
