P_Batt_in (W),,Cap_Loss_CH [p.u./HalfCycle],pu/dth
-3966.655401,0.110184872,5.05E-07,5.56E-08
-4000.92781,0.111136884,5.06E-07,5.62E-08
-4036.600092,0.11212778,5.06E-07,5.67E-08
-4072.269491,0.113118597,5.07E-07,5.74E-08
-4107.936008,0.114109334,5.07E-07,5.79E-08
-4142.197452,0.11506104,5.08E-07,5.85E-08
-4177.858322,0.11605162,5.08E-07,5.90E-08
-4213.516313,0.11704212,5.09E-07,5.96E-08
-4249.171425,0.11803254,5.10E-07,6.02E-08
-4283.421914,0.118983942,5.10E-07,6.07E-08
-4319.071384,0.119974205,5.11E-07,6.13E-08
-4354.717977,0.120964388,5.11E-07,6.18E-08
-4390.361695,0.121954492,5.12E-07,6.24E-08
-4424.60124,0.12290559,5.12E-07,6.29E-08
-4460.239321,0.123895537,5.13E-07,6.36E-08
-4495.874527,0.124885404,5.13E-07,6.41E-08
-4531.506861,0.125875191,5.14E-07,6.47E-08
-4565.735473,0.126825985,5.14E-07,6.52E-08
-4601.362175,0.127815616,5.15E-07,6.58E-08
-4636.986006,0.128805167,5.16E-07,6.65E-08
-4672.606966,0.129794638,5.16E-07,6.70E-08
-4706.824655,0.130745129,5.17E-07,6.76E-08
-4742.43999,0.131734444,5.17E-07,6.81E-08
-4778.052456,0.132723679,5.18E-07,6.88E-08
-4813.662055,0.133712835,5.18E-07,6.93E-08
-4847.868831,0.134663023,5.19E-07,6.99E-08
-4883.472809,0.135652022,5.19E-07,7.04E-08
-4919.073921,0.136640942,5.20E-07,7.11E-08
-4954.672169,0.137629782,5.21E-07,7.17E-08
-4988.868042,0.138579668,5.21E-07,7.22E-08
-5024.460675,0.139568352,5.22E-07,7.29E-08
-5060.050444,0.140556957,5.22E-07,7.34E-08
-5095.637351,0.141545482,5.23E-07,7.40E-08
-5129.822333,0.142495065,5.23E-07,7.45E-08
-5165.403631,0.143483434,5.24E-07,7.52E-08
-5200.982068,0.144471724,5.25E-07,7.58E-08
-5236.557646,0.145459935,5.25E-07,7.64E-08
-5270.731746,0.146409215,5.26E-07,7.70E-08
-5306.30172,0.14739727,5.26E-07,7.75E-08
-5341.868835,0.148385245,5.27E-07,7.82E-08
-5377.433094,0.149373142,5.28E-07,7.89E-08
-5411.596324,0.15032212,5.28E-07,7.94E-08
-5447.154984,0.151309861,5.29E-07,8.00E-08
-5482.710789,0.152297522,5.29E-07,8.06E-08
-5518.263741,0.153285104,5.30E-07,8.12E-08
