P_Batt_in (W),,Cap_Loss_CH [p.u./HalfCycle],pu/dth
-17562.50395,0.487847332,9.03E-07,4.41E-07
-17597.11309,0.488808697,9.05E-07,4.42E-07
-17631.7196,0.489769989,9.07E-07,4.44E-07
-17666.32348,0.490731208,9.08E-07,4.46E-07
-17698.24962,0.491618045,9.10E-07,4.47E-07
-17732.84844,0.492579123,9.12E-07,4.49E-07
-17767.44463,0.493540129,9.14E-07,4.51E-07
-17802.03819,0.494501061,9.16E-07,4.53E-07
-17833.95481,0.495387634,9.17E-07,4.54E-07
-17868.54332,0.496348426,9.19E-07,4.56E-07
-17903.1292,0.497309144,9.21E-07,4.58E-07
-17937.71245,0.49826979,9.23E-07,4.60E-07
-17969.61956,0.499156099,9.25E-07,4.62E-07
-18004.19777,0.500116605,9.27E-07,4.64E-07
-18038.77335,0.501077038,9.29E-07,4.66E-07
-18073.3463,0.502037397,9.30E-07,4.67E-07
-18105.24392,0.502923442,9.32E-07,4.69E-07
-18139.81183,0.503883662,9.34E-07,4.71E-07
-18174.37712,0.504843809,9.36E-07,4.73E-07
-18208.93978,0.505803883,9.38E-07,4.74E-07
-18240.82791,0.506689664,9.40E-07,4.76E-07
-18275.38553,0.507649598,9.42E-07,4.78E-07
-18309.94054,0.508609459,9.44E-07,4.80E-07
-18344.49292,0.509569248,9.46E-07,4.82E-07
-18376.37156,0.510454766,9.47E-07,4.83E-07
-18410.91892,0.511414414,9.49E-07,4.85E-07
-18445.46365,0.51237399,9.51E-07,4.87E-07
-18480.00576,0.513333493,9.53E-07,4.89E-07
-18511.87493,0.514218748,9.55E-07,4.91E-07
-18546.41201,0.515178111,9.57E-07,4.93E-07
-18580.94648,0.516137402,9.59E-07,4.95E-07
-18615.47834,0.517096621,9.61E-07,4.97E-07
-18647.33804,0.517981612,9.63E-07,4.99E-07
-18681.86486,0.518940691,9.65E-07,5.01E-07
-18716.38908,0.519899697,9.67E-07,5.03E-07
-18750.91068,0.52085863,9.69E-07,5.05E-07
-18782.76092,0.521743359,9.71E-07,5.07E-07
-18817.2775,0.522702153,9.73E-07,5.09E-07
-18851.79147,0.523660874,9.75E-07,5.11E-07
-18886.30283,0.524619523,9.77E-07,5.13E-07
-18918.14362,0.525503989,9.79E-07,5.14E-07
-18952.64996,0.526462499,9.81E-07,5.16E-07
-18987.15369,0.527420936,9.83E-07,5.18E-07
-19021.65482,0.528379301,9.85E-07,5.20E-07
-19053.48617,0.529263505,9.87E-07,5.22E-07
-19087.98228,0.53022173,9.89E-07,5.24E-07
-19122.47579,0.531179883,9.91E-07,5.26E-07
-19156.96669,0.532137964,9.93E-07,5.28E-07
-19188.7886,0.533021906,9.95E-07,5.30E-07
-19223.27449,0.533979847,9.97E-07,5.32E-07
-19257.75778,0.534937716,1.00E-06,5.35E-07
-19292.23847,0.535895513,1.00E-06,5.36E-07
-19324.05096,0.536779193,1.00E-06,5.37E-07
-19358.52664,0.537736851,1.01E-06,5.43E-07
-19392.99972,0.538694437,1.01E-06,5.44E-07
-19427.47019,0.53965195,1.01E-06,5.45E-07
-19459.27327,0.540535369,1.01E-06,5.46E-07
-19493.73875,0.541492743,1.01E-06,5.47E-07
-19528.20163,0.542450045,1.02E-06,5.53E-07
-19562.6619,0.543407275,1.02E-06,5.54E-07
-19594.45558,0.544290433,1.02E-06,5.55E-07
-19628.91086,0.545247524,1.02E-06,5.56E-07
-19663.36355,0.546204543,1.03E-06,5.63E-07
-19697.81364,0.54716149,1.03E-06,5.64E-07
-19729.59791,0.548044386,1.03E-06,5.64E-07
-19764.04301,0.549001195,1.03E-06,5.65E-07
-19798.48551,0.549957931,1.03E-06,5.66E-07
-19832.92542,0.550914595,1.04E-06,5.73E-07
-19864.7003,0.551797231,1.04E-06,5.74E-07
-19899.13523,0.552753756,1.04E-06,5.75E-07
-19933.56756,0.55371021,1.04E-06,5.76E-07
-19967.9973,0.554666592,1.05E-06,5.82E-07
-19999.7628,0.555548967,1.05E-06,5.83E-07
-20034.18755,0.55650521,1.05E-06,5.84E-07
-20068.60972,0.557461381,1.05E-06,5.85E-07
-20103.0293,0.558417481,1.05E-06,5.86E-07
-20134.78542,0.559299595,1.06E-06,5.93E-07
-20169.20003,0.560255556,1.06E-06,5.94E-07
-20203.61204,0.561211446,1.06E-06,5.95E-07
-20238.02146,0.562167263,1.06E-06,5.96E-07
-20269.76822,0.563049117,1.07E-06,6.02E-07
-20304.17267,0.564004796,1.07E-06,6.03E-07
-20338.57454,0.564960404,1.07E-06,6.05E-07
-20372.97382,0.565915939,1.07E-06,6.06E-07
-20404.71122,0.566797534,1.08E-06,6.12E-07
-20439.10554,0.567752932,1.08E-06,6.13E-07
-20473.49726,0.568708257,1.08E-06,6.14E-07
-20507.88641,0.569663511,1.08E-06,6.15E-07
-20539.61446,0.570544846,1.08E-06,6.16E-07
-20573.99865,0.571499963,1.09E-06,6.23E-07
-20608.38025,0.572455007,1.09E-06,6.24E-07
-20642.75927,0.57340998,1.09E-06,6.25E-07
-20674.00102,0.574277806,1.09E-06,6.26E-07
-20708.37511,0.575232642,1.10E-06,6.33E-07
-20742.74663,0.576187406,1.10E-06,6.34E-07
-20777.11557,0.577142099,1.10E-06,6.35E-07
-20808.14694,0.578004082,1.10E-06,6.36E-07
-20842.51097,0.578958638,1.11E-06,6.43E-07
-20876.87243,0.579913123,1.11E-06,6.44E-07
-20911.23131,0.580867536,1.11E-06,6.45E-07
-20942.2536,0.581729267,1.11E-06,6.46E-07
-20976.60758,0.582683544,1.12E-06,6.53E-07
-21010.95899,0.58363775,1.12E-06,6.54E-07
-21045.30783,0.584591884,1.12E-06,6.55E-07
-21076.32104,0.585453362,1.12E-06,6.56E-07
-21110.66498,0.586407361,1.13E-06,6.63E-07
-21145.00635,0.587361288,1.13E-06,6.64E-07
-21179.34514,0.588315143,1.13E-06,6.65E-07
-21210.34929,0.589176369,1.13E-06,6.66E-07
-21244.6832,0.590130089,1.14E-06,6.73E-07
-21279.01453,0.591083737,1.14E-06,6.74E-07
-21313.34329,0.592037314,1.14E-06,6.75E-07
-21347.66949,0.592990819,1.14E-06,6.76E-07
-21378.66227,0.59385173,1.15E-06,6.83E-07
-21412.98358,0.594805099,1.15E-06,6.84E-07
-21447.30232,0.595758398,1.15E-06,6.85E-07
-21481.61849,0.596711625,1.15E-06,6.86E-07
-21512.60223,0.597572284,1.16E-06,6.93E-07
-21546.91352,0.598525376,1.16E-06,6.94E-07
-21581.22225,0.599478396,1.16E-06,6.95E-07
-21615.52841,0.600431345,1.17E-06,7.03E-07
-21646.50311,0.601291753,1.17E-06,7.04E-07
-21680.8044,0.602244567,1.17E-06,7.05E-07
-21715.10312,0.603197309,1.17E-06,7.06E-07
-21749.39928,0.60414998,1.18E-06,7.13E-07
-21780.36495,0.605010138,1.18E-06,7.14E-07
-21814.65624,0.605962673,1.18E-06,7.15E-07
-21848.94497,0.606915138,1.18E-06,7.16E-07
-21883.23113,0.607867531,1.19E-06,7.23E-07
-21914.18778,0.608727438,1.19E-06,7.24E-07
-21948.46908,0.609679697,1.19E-06,7.26E-07
-21982.74782,0.610631884,1.19E-06,7.27E-07
-22017.024,0.611584,1.20E-06,7.34E-07
-22047.97164,0.612443657,1.20E-06,7.35E-07
-22082.24296,0.613395638,1.20E-06,7.36E-07
-22116.51172,0.614347548,1.21E-06,7.43E-07
-22150.77793,0.615299387,1.21E-06,7.45E-07
-22181.71655,0.616158793,1.21E-06,7.46E-07
-22215.9779,0.617110497,1.21E-06,7.47E-07
-22250.23669,0.61806213,1.22E-06,7.54E-07
-22284.49293,0.619013693,1.22E-06,7.55E-07
-22315.42256,0.619872849,1.22E-06,7.56E-07
-22349.67394,0.620824276,1.23E-06,7.64E-07
-22383.92278,0.621775633,1.23E-06,7.65E-07
-22418.16906,0.622726918,1.23E-06,7.66E-07
-22449.0897,0.623585825,1.23E-06,7.67E-07
-22483.33113,0.624536976,1.24E-06,7.74E-07
-22517.57001,0.625488056,1.24E-06,7.76E-07
-22551.80634,0.626439065,1.24E-06,7.77E-07
-22582.71799,0.627297722,1.25E-06,7.84E-07
-22616.94948,0.628248597,1.25E-06,7.85E-07
-22651.17841,0.6291994,1.25E-06,7.86E-07
-22685.4048,0.630150133,1.25E-06,7.88E-07
-22716.30749,0.631008541,1.26E-06,7.95E-07
-22750.52903,0.63195914,1.26E-06,7.96E-07
-22784.74803,0.632909668,1.26E-06,7.97E-07
-22818.96449,0.633860125,1.27E-06,8.05E-07
-22849.85821,0.634718284,1.27E-06,8.06E-07
-22884.06982,0.635668606,1.27E-06,8.07E-07
-22918.2789,0.636618858,1.28E-06,8.15E-07
-22952.48543,0.63756904,1.28E-06,8.16E-07
-22983.37019,0.63842695,1.28E-06,8.17E-07
-23017.57189,0.639376997,1.28E-06,8.18E-07
-23051.77105,0.640326974,1.29E-06,8.26E-07
-23085.96766,0.641276879,1.29E-06,8.27E-07
-23116.84347,0.642134541,1.29E-06,8.28E-07
-23151.03526,0.643084313,1.30E-06,8.36E-07
-23185.22451,0.644034014,1.30E-06,8.37E-07
-23219.41122,0.644983645,1.30E-06,8.38E-07
-23250.27808,0.645841058,1.31E-06,8.46E-07
-23284.45996,0.646790554,1.31E-06,8.47E-07
-23318.63931,0.647739981,1.31E-06,8.49E-07
-23352.81613,0.648689337,1.32E-06,8.56E-07
-23383.67405,0.649546501,1.32E-06,8.57E-07
-23417.84604,0.650495723,1.32E-06,8.59E-07
-23452.0155,0.651444875,1.33E-06,8.66E-07
-23482.86678,0.652301855,1.33E-06,8.68E-07
-23517.03142,0.653250873,1.33E-06,8.69E-07
-23551.19353,0.65419982,1.34E-06,8.77E-07
-23585.3531,0.655148697,1.34E-06,8.78E-07
-23616.19546,0.656005429,1.34E-06,8.79E-07
-23650.35022,0.656954173,1.34E-06,8.80E-07
-23684.50245,0.657902846,1.35E-06,8.88E-07
-23718.65215,0.658851449,1.35E-06,8.89E-07
-23749.4856,0.659707933,1.35E-06,8.91E-07
-23783.63048,0.660656402,1.36E-06,8.98E-07
-23817.77284,0.661604801,1.36E-06,9.00E-07
-23851.91268,0.66255313,1.36E-06,9.01E-07
-23882.73722,0.663409367,1.37E-06,9.09E-07
-23916.87224,0.664357562,1.37E-06,9.10E-07
-23951.00475,0.665305688,1.37E-06,9.11E-07
-23985.13472,0.666253742,1.38E-06,9.19E-07
-24015.95036,0.667109732,1.38E-06,9.21E-07
-24050.07554,0.668057654,1.38E-06,9.22E-07
-24084.19819,0.669005505,1.39E-06,9.30E-07
-24118.31831,0.669953286,1.39E-06,9.31E-07
-24149.12506,0.670809029,1.40E-06,9.39E-07
-24183.24039,0.671756678,1.40E-06,9.40E-07
-24217.3532,0.672704256,1.40E-06,9.42E-07
-24251.46349,0.673651764,1.41E-06,9.50E-07
-24282.26135,0.67450726,1.41E-06,9.51E-07
-24316.36684,0.675454634,1.41E-06,9.52E-07
-24350.46982,0.676401939,1.42E-06,9.60E-07
-24384.57027,0.677349174,1.42E-06,9.62E-07
-24415.35926,0.678204424,1.42E-06,9.63E-07
-24449.45493,0.679151526,1.43E-06,9.71E-07
-24483.54808,0.680098558,1.43E-06,9.73E-07
-24517.63871,0.68104552,1.43E-06,9.74E-07
-24548.41883,0.681900523,1.44E-06,9.82E-07
-24582.50467,0.682847352,1.44E-06,9.83E-07
-24616.58801,0.683794111,1.44E-06,9.85E-07
-24650.66882,0.684740801,1.45E-06,9.93E-07
-24681.44008,0.685595558,1.45E-06,9.94E-07
-24715.51612,0.686542114,1.46E-06,1.00E-06
-24749.58964,0.687488601,1.46E-06,1.00E-06
-24783.66065,0.688435018,1.46E-06,1.01E-06
-24814.42306,0.689289529,1.47E-06,1.01E-06
-24848.48929,0.690235814,1.47E-06,1.01E-06
-24882.55301,0.691182028,1.47E-06,1.02E-06
-24916.61423,0.692128173,1.48E-06,1.02E-06
-24947.36779,0.692982439,1.48E-06,1.03E-06
-24981.42423,0.693928451,1.49E-06,1.03E-06
-25015.47816,0.694874393,1.49E-06,1.04E-06
-25049.52958,0.695820266,1.49E-06,1.04E-06
-25080.27431,0.696674286,1.50E-06,1.05E-06
-25114.32096,0.697620027,1.50E-06,1.05E-06
-25148.36511,0.698565698,1.50E-06,1.05E-06
-25182.40675,0.699511299,1.51E-06,1.06E-06
-25213.14264,0.700365073,1.51E-06,1.06E-06
-25247.17952,0.701310542,1.52E-06,1.07E-06
-25281.21389,0.702255941,1.52E-06,1.07E-06
-25315.24576,0.703201271,1.52E-06,1.07E-06
-25345.97283,0.704054801,1.53E-06,1.08E-06
-25379.99994,0.704999998,1.53E-06,1.08E-06
-25414.02455,0.705945126,1.54E-06,1.09E-06
-25448.04665,0.706890185,1.54E-06,1.09E-06
-25478.76491,0.70774347,1.54E-06,1.09E-06
-25512.78226,0.708688396,1.55E-06,1.10E-06
-25546.7971,0.709633253,1.55E-06,1.10E-06
-25580.80945,0.71057804,1.56E-06,1.11E-06
-25611.5189,0.711431081,1.56E-06,1.11E-06
-25645.5265,0.712375736,1.56E-06,1.11E-06
-25679.5316,0.713320322,1.57E-06,1.12E-06
-25713.5342,0.714264839,1.57E-06,1.12E-06
-25744.23485,0.715117635,1.58E-06,1.13E-06
-25778.2327,0.716062019,1.58E-06,1.13E-06
-25812.22806,0.717006335,1.58E-06,1.13E-06
-25846.22092,0.717950581,1.59E-06,1.14E-06
-25876.91278,0.718803133,1.59E-06,1.14E-06
-25910.9009,0.719747247,1.60E-06,1.15E-06
-25944.88652,0.720691292,1.60E-06,1.15E-06
-25978.86965,0.721635268,1.61E-06,1.16E-06
-26009.55273,0.722487576,1.61E-06,1.16E-06
-26043.53112,0.72343142,1.61E-06,1.16E-06
-26077.50702,0.724375195,1.62E-06,1.17E-06
-26111.48043,0.725318901,1.62E-06,1.18E-06
-26142.15472,0.726170964,1.63E-06,1.18E-06
-26176.1234,0.727114539,1.63E-06,1.19E-06
-26210.08958,0.728058044,1.63E-06,1.19E-06
-26244.05327,0.72900148,1.64E-06,1.20E-06
-26274.7188,0.7298533,1.64E-06,1.20E-06
-26308.67777,0.730796605,1.65E-06,1.21E-06
-26342.63424,0.73173984,1.65E-06,1.21E-06
-26376.58823,0.732683006,1.66E-06,1.22E-06
-26407.245,0.733534583,1.66E-06,1.22E-06
-26441.19426,0.734477618,1.67E-06,1.23E-06
-26475.14103,0.735420584,1.67E-06,1.23E-06
-26509.08532,0.736363481,1.67E-06,1.23E-06
-26539.73334,0.737214815,1.68E-06,1.24E-06
-26573.6729,0.738157581,1.68E-06,1.2401E-06
-26607.60999,0.739100278,1.69E-06,1.25E-06
-26641.54459,0.740042905,1.69E-06,1.25E-06
-26675.47671,0.740985464,1.70E-06,1.26E-06
-26706.11374,0.741836493,1.70E-06,1.26E-06
-26740.04114,0.742778921,1.71E-06,1.27E-06
-26773.96606,0.743721279,1.71E-06,1.27E-06
-26807.8885,0.744663569,1.72E-06,1.28E-06
-26838.51679,0.745514355,1.72E-06,1.28E-06
-26872.43452,0.746456514,1.72E-06,1.28E-06
-26906.34977,0.747398605,1.73E-06,1.29E-06
-26940.26254,0.748340626,1.73E-06,1.29E-06
-26970.8821,0.749191169,1.74E-06,1.30E-06
-27004.79016,0.75013306,1.74E-06,1.31E-06
-27038.69574,0.751074882,1.75E-06,1.31E-06
-27072.59885,0.752016635,1.75E-06,1.32E-06
-27103.20969,0.752866936,1.76E-06,1.33E-06
-27137.10809,0.753808558,1.76E-06,1.33E-06
-27171.00402,0.754750112,1.77E-06,1.34E-06
-27204.89748,0.755691597,1.77E-06,1.34E-06
-27235.4996,0.756541656,1.78E-06,1.35E-06
-27269.38835,0.75748301,1.78E-06,1.35E-06
-27303.27463,0.758424295,1.79E-06,1.36E-06
-27337.15844,0.759365512,1.79E-06,1.36E-06
-27367.24049,0.760201125,1.80E-06,1.37E-06
-27401.11964,0.761142212,1.80E-06,1.37E-06
-27434.99632,0.762083231,1.81E-06,1.38E-06
-27468.87053,0.763024181,1.81E-06,1.38E-06
-27498.68769,0.763852436,1.81E-06,1.38E-06
-27532.55726,0.764793257,1.82E-06,1.39E-06
-27566.42437,0.76573401,1.83E-06,1.40E-06
-27596.23527,0.766562091,1.83E-06,1.40E-06
-27630.09774,0.767502715,1.83E-06,1.40E-06
-27663.95774,0.768443271,1.84E-06,1.41E-06
-27697.81528,0.769383758,1.85E-06,1.42E-06
-27727.61776,0.770211604,1.85E-06,1.42E-06
-27761.47067,0.771151963,1.85E-06,1.43E-06
-27795.32111,0.772092253,1.86E-06,1.44E-06
-27829.16908,0.773032474,1.87E-06,1.45E-06
-27858.96316,0.773860088,1.87E-06,1.45E-06
-27892.80651,0.774800181,1.88E-06,1.46E-06
-27926.64739,0.775740205,1.88E-06,1.46E-06
-27960.48582,0.776680162,1.89E-06,1.47E-06
-27990.27149,0.777507541,1.89E-06,1.47E-06
-28024.10529,0.778447369,1.90E-06,1.48E-06
-28057.93663,0.779387129,1.90E-06,1.48E-06
-28091.76551,0.78032682,1.91E-06,1.49E-06
-28121.54278,0.781153966,1.91E-06,1.49E-06
-28155.36704,0.782093529,1.92E-06,1.50E-06
-28189.18885,0.783033024,1.92E-06,1.50E-06
-28223.00819,0.78397245,1.93E-06,1.51E-06
-28252.77707,0.784799363,1.93E-06,1.51E-06
-28286.5918,0.785738661,1.94E-06,1.52E-06
-28320.40408,0.786677891,1.94E-06,1.53E-06
-28354.2139,0.787617053,1.95E-06,1.54E-06
-28383.97439,0.788443733,1.95E-06,1.54E-06
-28417.7796,0.789382767,1.96E-06,1.55E-06
-28451.58235,0.790321732,1.97E-06,1.56E-06
-28485.38265,0.791260629,1.97E-06,1.56E-06
-28515.13477,0.792087077,1.98E-06,1.57E-06
-28548.93046,0.793025846,1.98E-06,1.57E-06
-28582.7237,0.793964547,1.99E-06,1.58E-06
-28616.51449,0.79490318,1.99E-06,1.58E-06
-28646.25824,0.795729396,2.00E-06,1.59E-06
-28680.04442,0.796667901,2.00E-06,1.59E-06
-28713.82816,0.797606338,2.01E-06,1.60E-06
-28747.60945,0.798544707,2.02E-06,1.61E-06
-28777.34483,0.79937069,2.02E-06,1.61E-06
-28811.12152,0.800308931,2.03E-06,1.62E-06
-28844.89576,0.801247104,2.03E-06,1.63E-06
-28878.66755,0.80218521,2.04E-06,1.64E-06
-28912.4369,0.803123247,2.05E-06,1.65E-06
-28942.16177,0.803948938,2.05E-06,1.65E-06
-28975.92652,0.804886848,2.06E-06,1.66E-06
-29009.68883,0.80582469,2.06E-06,1.66E-06
-29043.44869,0.806762464,2.07E-06,1.67E-06
-29073.16521,0.807587923,2.07E-06,1.67E-06
-29106.92048,0.808525569,2.08E-06,1.68E-06
-29140.67331,0.809463148,2.09E-06,1.69E-06
-29174.4237,0.810400658,2.09E-06,1.69E-06
-29204.13188,0.811225886,2.10E-06,1.70E-06
-29237.87768,0.812163269,2.10E-06,1.71E-06
-29271.62104,0.813100584,2.11E-06,1.72E-06
-29305.36196,0.814037832,2.12E-06,1.73E-06
-29335.0618,0.814862828,2.12E-06,1.73E-06
-29368.79814,0.815799948,2.13E-06,1.74E-06
-29402.53203,0.816737001,2.13E-06,1.74E-06
-29436.26349,0.817673986,2.14E-06,1.75E-06
-29465.95501,0.81849875,2.15E-06,1.76E-06
-29499.68189,0.819435608,2.15E-06,1.76E-06
-29533.40633,0.820372398,2.16E-06,1.77E-06
-29567.12833,0.82130912,2.16E-06,1.77E-06
-29596.81153,0.822133654,2.17E-06,1.78E-06
-29630.52896,0.823070249,2.18E-06,1.79E-06
-29664.24395,0.824006776,2.18E-06,1.80E-06
-29697.95651,0.824943236,2.19E-06,1.81E-06
-29727.6314,0.825767539,2.20E-06,1.82E-06
-29761.33939,0.826703872,2.20E-06,1.82E-06
-29795.04494,0.827640137,2.21E-06,1.83E-06
-29828.74807,0.828576335,2.22E-06,1.84E-06
-29858.41465,0.829400407,2.22E-06,1.84E-06
-29892.1132,0.830336478,2.23E-06,1.85E-06
-29925.80933,0.831272481,2.23E-06,1.85E-06
-29959.50302,0.832208417,2.24E-06,1.86E-06
-29989.16131,0.833032259,2.25E-06,1.87E-06
-30022.85043,0.833968068,2.25E-06,1.88E-06
-30056.53713,0.834903809,2.26E-06,1.89E-06
-30090.2214,0.835839483,2.27E-06,1.90E-06
-30119.8714,0.836663094,2.27E-06,1.90E-06
-30153.55111,0.837598642,2.28E-06,1.91E-06
-30187.22839,0.838534122,2.29E-06,1.92E-06
-30220.90325,0.839469535,2.29E-06,1.92E-06
-30250.54496,0.840292916,2.30E-06,1.93E-06
-30284.21526,0.841228202,2.31E-06,1.94E-06
-30317.88314,0.842163421,2.31E-06,1.95E-06
-30351.54859,0.843098572,2.32E-06,1.96E-06
-30381.18203,0.843921723,2.33E-06,1.97E-06
-30414.84292,0.844856748,2.33E-06,1.97E-06
-30448.5014,0.845791706,2.34E-06,1.98E-06
-30482.15746,0.846726596,2.35E-06,1.99E-06
-30511.78262,0.847549517,2.35E-06,1.99E-06
-30545.43412,0.848484281,2.36E-06,2.00E-06
-30579.08321,0.849418978,2.37E-06,2.01E-06
-30612.72988,0.850353608,2.38E-06,2.02E-06
-30642.34677,0.851176299,2.38E-06,2.03E-06
-30675.98889,0.852110803,2.39E-06,2.04E-06
-30709.62859,0.853045239,2.40E-06,2.05E-06
-30743.26588,0.853979608,2.40E-06,2.05E-06
-30772.87452,0.85480207,2.41E-06,2.06E-06
-30806.50726,0.855736313,2.42E-06,2.07E-06
-30840.13759,0.856670489,2.43E-06,2.08E-06
-30869.7401,0.857492781,2.43E-06,2.08E-06
-30903.36589,0.85842683,2.44E-06,2.09E-06
-30936.98926,0.859360813,2.45E-06,2.11E-06
-30970.61022,0.860294728,2.45E-06,2.11E-06
-31000.20449,0.861116791,2.46E-06,2.12E-06
-31033.82091,0.862050581,2.47E-06,2.13E-06
-31067.43492,0.862984303,2.48E-06,2.14E-06
-31101.04652,0.863917959,2.48E-06,2.14E-06
-31130.63255,0.864739793,2.49E-06,2.15E-06
-31164.23961,0.865673323,2.50E-06,2.16E-06
-31197.84427,0.866606785,2.51E-06,2.18E-06
-31231.44651,0.867540181,2.51E-06,2.18E-06
-31261.02431,0.868361786,2.52E-06,2.19E-06
-31294.62203,0.869295056,2.53E-06,2.20E-06
-31328.21734,0.870228259,2.54E-06,2.21E-06
-31361.81024,0.871161396,2.54E-06,2.21E-06
-31391.37982,0.871982773,2.55E-06,2.22E-06
-31424.96819,0.872915783,2.56E-06,2.23E-06
-31458.55416,0.873848727,2.57E-06,2.25E-06
-31492.13772,0.874781603,2.57E-06,2.25E-06
-31521.69908,0.875602752,2.58E-06,2.26E-06
-31555.27812,0.876535503,2.59E-06,2.27E-06
-31588.85476,0.877468188,2.60E-06,2.28E-06
-31622.429,0.878400806,2.61E-06,2.29E-06
-31651.98215,0.879221726,2.61E-06,2.29E-06
-31685.55186,0.880154218,2.62E-06,2.31E-06
-31719.11918,0.881086644,2.63E-06,2.32E-06
-31752.68409,0.882019003,2.64E-06,2.33E-06
-31782.22903,0.882839695,2.64E-06,2.33E-06
-31815.78943,0.883771929,2.65E-06,2.34E-06
-31849.34743,0.884704095,2.66E-06,2.35E-06
-31882.90303,0.885636195,2.67E-06,2.36E-06
-31912.43978,0.886456661,2.68E-06,2.38E-06
-31945.99087,0.887388635,2.69E-06,2.39E-06
-31979.53956,0.888320543,2.69E-06,2.39E-06
-32013.08585,0.889252385,2.70E-06,2.40E-06
-32042.61441,0.890072623,2.71E-06,2.41E-06
-32076.1562,0.891004339,2.72E-06,2.42E-06
-32109.69559,0.891935989,2.73E-06,2.43E-06
-32143.23259,0.892867572,2.74E-06,2.45E-06
-32172.75296,0.893687582,2.74E-06,2.45E-06
-32206.28545,0.89461904,2.75E-06,2.46E-06
-32239.81555,0.895550432,2.76E-06,2.47E-06
-32273.34326,0.896481757,2.77E-06,2.48E-06
-32302.85546,0.897301541,2.78E-06,2.49E-06
-32336.37866,0.898232741,2.79E-06,2.51E-06
-32369.89948,0.899163874,2.79E-06,2.51E-06
-32403.4179,0.900094942,2.80E-06,2.52E-06
-32432.92193,0.900914498,2.81E-06,2.53E-06
-32466.43585,0.90184544,2.82E-06,2.54E-06
-32499.94739,0.902776316,2.83E-06,2.55E-06
-32533.45654,0.903707126,2.84E-06,2.57E-06
-32562.9524,0.904526456,2.85E-06,2.58E-06
-32596.45706,0.905457141,2.85E-06,2.58E-06
-32629.95933,0.906387759,2.86E-06,2.59E-06
-32663.45921,0.907318311,2.87E-06,2.60E-06
-32692.94692,0.908137414,2.88E-06,2.62E-06
-32726.44231,0.909067842,2.89E-06,2.63E-06
-32759.93532,0.909998203,2.90E-06,2.64E-06
-32793.42594,0.910928498,2.91E-06,2.65E-06
-32822.9055,0.911747375,2.92E-06,2.66E-06
-32856.39163,0.912677545,2.93E-06,2.67E-06
-32889.87539,0.91360765,2.94E-06,2.69E-06
-32923.35676,0.914537688,2.94E-06,2.69E-06
-32952.82817,0.915356338,2.95E-06,2.70E-06
-32986.30506,0.916286252,2.96E-06,2.71E-06
-33019.77957,0.917216099,2.97E-06,2.72E-06
-33053.25169,0.91814588,2.98E-06,2.74E-06
-33082.71497,0.918964305,2.99E-06,2.75E-06
-33116.18262,0.919893962,3.00E-06,2.76E-06
-33149.64789,0.920823553,3.01E-06,2.77E-06
-33183.11078,0.921753077,3.02E-06,2.78E-06
-33212.56593,0.922571276,3.03E-06,2.80E-06
-33246.02434,0.923500676,3.04E-06,2.81E-06
-33279.48038,0.924430011,3.05E-06,2.82E-06
-33312.93404,0.925359279,3.06E-06,2.83E-06
-33342.38107,0.926177252,3.07E-06,2.84E-06
-33375.83026,0.927106396,3.08E-06,2.86E-06
-33409.27707,0.928035474,3.09E-06,2.87E-06
-33442.72151,0.928964486,3.10E-06,2.88E-06
-33472.16042,0.929782234,3.10E-06,2.88E-06
-33505.6004,0.930711122,3.11E-06,2.89E-06
-33539.038,0.931639944,3.12E-06,2.91E-06
-33572.47322,0.932568701,3.13E-06,2.92E-06
-33601.90402,0.933386223,3.14E-06,2.93E-06
-33635.33479,0.934314855,3.15E-06,2.94E-06
-33668.76318,0.935243422,3.16E-06,2.96E-06
-33702.1892,0.936171922,3.17E-06,2.97E-06
-33731.6119,0.936989219,3.18E-06,2.98E-06
-33765.03346,0.937917596,3.19E-06,2.99E-06
-33798.45265,0.938845907,3.20E-06,3.00E-06
-33831.86947,0.939774152,3.21E-06,3.02E-06
-33861.28407,0.940591224,3.22E-06,3.03E-06
-33894.69644,0.941519346,3.23E-06,3.04E-06
-33928.10643,0.942447401,3.24E-06,3.05E-06
-33961.51406,0.943375391,3.26E-06,3.08E-06
-33990.92058,0.944192238,3.26E-06,3.08E-06
-34024.32376,0.945120104,3.28E-06,3.10E-06
-34057.72457,0.946047905,3.29E-06,3.11E-06
-34091.12302,0.946975639,3.30E-06,3.13E-06
-34120.52145,0.947792263,3.31E-06,3.14E-06
-34153.91545,0.948719874,3.32E-06,3.15E-06
-34187.30708,0.949647419,3.33E-06,3.16E-06
-34220.69635,0.950574899,3.34E-06,3.17E-06
-34250.08671,0.951391298,3.35E-06,3.19E-06
-34283.47154,0.952318654,3.36E-06,3.20E-06
-34316.854,0.953245944,3.37E-06,3.21E-06
-34350.23411,0.95417317,3.38E-06,3.23E-06
-34379.6164,0.954989344,3.39E-06,3.24E-06
-34412.99206,0.955916446,3.40E-06,3.25E-06
-34446.36536,0.956843482,3.41E-06,3.26E-06
-34479.7363,0.957770453,3.43E-06,3.29E-06
-34509.11053,0.958586404,3.44E-06,3.30E-06
-34542.47703,0.959513251,3.45E-06,3.31E-06
-34575.84118,0.960440033,3.46E-06,3.32E-06
-34609.20297,0.961366749,3.47E-06,3.34E-06
-34638.56914,0.962182476,3.48E-06,3.35E-06
