P_Ac_in (W),P_Batt_in (W),P_loss_in,,P_Ac_out,P_Batt_out,P_loss_out,,P_Ac_in (W),P_Batt_in (W),P_loss_in,,P_Ac_out,P_Batt_out,P_loss_out,,,P_AC_out_only_PE,,,P_Ac_in_only_PE,
-10980,-10469.03509,510.9649104,,10980,10472.23013,507.769866,,-10980,-10850.16521,-129.8347941,,10980,11135.71005,155.7100481,,,-10980,352.0598179,,10980,381.1301163
-11016,-10504.19228,511.8077162,,11016,10507.19569,508.8043092,,-11016,-10885.30727,-130.692734,,11016,11172.72337,156.7233684,,,-11016,352.0809408,,11016,381.1149822
-11052,-10539.34672,512.6532812,,11052,10542.15815,509.8418452,,-11052,-10920.44657,-131.5534305,,11052,11209.74002,157.7400222,,,-11052,352.101823,,11052,381.0998507
-11088,-10572.31136,515.6886394,,11088,10575.41414,512.5858589,,-11088,-10955.61018,-132.3898234,,11088,11246.78558,158.7855817,,,-11088,353.8002772,,11088,383.298816
-11124,-10607.46045,516.539549,,11124,10610.37005,513.629947,,-11124,-10990.74405,-133.2559479,,11124,11283.80899,159.8089897,,,-11124,353.8209573,,11124,383.2836011
-11160,-10642.60678,517.3932159,,11160,10645.32287,514.6771337,,-11160,-11025.87517,-134.1248271,,11160,11320.83573,160.8357328,,,-11160,353.8414009,,11160,383.2683888
-11196,-10677.75036,518.2496393,,11196,10680.27258,515.7274217,,-11196,-11061.00354,-134.9964605,,11196,11357.86581,161.8658115,,,-11196,353.8616102,,11196,383.2531788
-11232,-10710.70482,521.2951779,,11232,10713.51492,518.4850827,,-11232,-11096.15655,-135.8434533,,11232,11394.92514,162.9251396,,,-11232,355.5599431,,11232,385.4517246
-11268,-10745.84306,522.156941,,11268,10748.45807,519.5419328,,-11268,-11131.27949,-136.7205095,,11268,11431.96198,163.9619764,,,-11268,355.5799564,,11268,385.4364315
-11304,-10780.97854,523.0214588,,11304,10783.39811,520.6018899,,-11304,-11166.39968,-137.600318,,11304,11469.00215,165.0021502,,,-11304,355.5997397,,11304,385.4211408
-11340,-10816.11127,523.8887306,,11340,10818.33504,521.6649567,,-11340,-11201.51712,-138.4828781,,11340,11506.04566,166.0456614,,,-11340,355.6192953,,11340,385.4058525
-11376,-10849.05556,526.9444403,,11376,10851.56373,524.4362699,,-11376,-11236.65954,-139.340461,,11376,11543.11877,167.1187663,,,-11376,357.3175036,,11376,387.6039793
-11412,-10884.18295,527.8170468,,11412,10886.49409,525.5059082,,-11412,-11271.77156,-140.2284389,,11412,11580.16904,168.1690396,,,-11412,357.3368686,,11412,387.5886079
-11448,-10919.30759,528.6924054,,11448,10921.42134,526.5786618,,-11448,-11306.88083,-141.1191665,,11448,11617.22265,169.2226518,,,-11448,357.35601,,11448,387.5732389
-11484,-10954.42948,529.5705155,,11484,10956.34547,527.6545331,,-11484,-11341.98736,-142.012643,,11484,11654.2796,170.2796034,,,-11484,357.3749297,,11484,387.5578725
-11520,-10987.36361,532.6363868,,11520,10989.5605,530.4395033,,-11520,-11377.11919,-142.8808064,,11520,11691.36649,171.3664931,,,-11520,359.0730102,,11520,389.7555804
-11556,-11022.48017,533.5198267,,11556,11024.47804,531.5219554,,-11556,-11412.2203,-143.7796958,,11556,11728.43021,172.4302107,,,-11556,359.0917447,,11556,389.7401309
-11592,-11057.59398,534.4060162,,11592,11059.39247,532.6075307,,-11592,-11447.31867,-144.6813324,,11592,11765.49727,173.4972691,,,-11592,359.1102616,,11592,389.7246838
-11628,-11092.70505,535.2949545,,11628,11094.30377,533.6962315,,-11628,-11482.41428,-145.5857154,,11628,11802.56767,174.5676689,,,-11628,359.1285626,,11628,389.7092391
-11664,-11125.62902,538.3709781,,11664,11127.50514,536.4948636,,-11664,-11517.53555,-146.4644494,,11664,11839.66835,175.6683514,,,-11664,360.8265122,,11664,391.9065287
-11700,-11160.73476,539.2652414,,11700,11162.40985,537.5901542,,-11700,-11552.62576,-147.3742403,,11700,11876.74552,176.7455211,,,-11700,360.8446331,,11700,391.8910011
-11736,-11195.83775,540.1622517,,11736,11197.31142,538.6885756,,-11736,-11587.71322,-148.2867757,,11736,11913.82603,177.8260335,,,-11736,360.8625421,,11736,391.875476
-11772,-11230.93799,541.0620083,,11772,11232.20987,539.7901301,,-11772,-11622.79795,-149.202055,,11772,11950.90989,178.9098893,,,-11772,360.8802408,,11772,391.8599533
-11808,-11263.85183,544.1481748,,11808,11265.39757,542.6024289,,-11808,-11657.90865,-150.09135,,11808,11988.02437,180.0243728,,,-11808,362.5780561,,11808,394.0568248
-11844,-11298.94675,545.0532514,,11844,11300.28942,543.7105821,,-11844,-11692.98797,-151.0120322,,11844,12025.115,181.1150023,,,-11844,362.5955798,,11844,394.0412192
-11880,-11334.03893,545.9610725,,11880,11335.17813,544.8218733,,-11880,-11728.06454,-151.9354564,,11880,12062.20898,182.2089766,,,-11880,362.6128967,,11880,394.0256161
-11916,-11369.12836,546.8716374,,11916,11370.06369,545.9363051,,-11916,-11763.13838,-152.8616219,,11916,12099.3063,183.3062961,,,-11916,362.630009,,11916,394.0100155
-11952,-11402.03206,549.9679374,,11952,11403.23772,548.7622754,,-11952,-11798.23853,-153.7614683,,11952,12136.43459,184.4345886,,,-11952,364.3276868,,11952,396.2064691
-11988,-11437.11618,550.8838174,,11988,11438.11669,549.8833143,,-11988,-11833.30697,-154.6930317,,11988,12173.53869,185.5386859,,,-11988,364.3446284,,11988,396.1907857
-12024,-11472.19756,551.8024393,,12024,11472.9925,551.0074985,,-12024,-11868.37267,-155.6273346,,12024,12210.64613,186.6461299,,,-12024,364.3613686,,12024,396.1751047
-12060,-11507.2762,552.7238025,,12060,11507.86517,552.1348303,,-12060,-11903.43562,-156.5643762,,12060,12247.75692,187.756921,,,-12060,364.3779093,,12060,396.1594263
-12096,-11540.16977,555.8302266,,12096,11541.02552,554.9744769,,-12096,-11938.52524,-157.4747644,,12096,12284.89903,188.8990306,,,-12096,366.0754463,,12096,398.3554622
-12132,-11575.2431,556.7569,,12132,11575.89158,556.1084242,,-12132,-11973.5828,-158.4171989,,12132,12322.0166,190.0166034,,,-12132,366.0918208,,12132,398.3397011
-12168,-11610.31369,557.6863129,,12168,11610.75448,557.2455238,,-12168,-12008.63763,-159.3623704,,12168,12359.13752,191.1375249,,,-12168,366.1079989,,12168,398.3239425
-12204,-11645.38154,558.6184644,,12204,11645.61422,558.3857779,,-12204,-12043.68972,-160.3102781,,12204,12396.2618,192.2617955,,,-12204,366.1239824,,12204,398.3081863
-12240,-11678.265,561.7350033,,12240,11678.76089,561.2391056,,-12240,-12078.7688,-161.2311983,,12240,12433.41773,193.4177303,,,-12240,367.8213753,,12240,400.503805
-12276,-11713.32754,562.6724602,,12276,11713.61402,562.3859832,,-12276,-12113.81551,-162.184494,,12276,12470.54879,194.5487865,,,-12276,367.8371967,,12276,400.4879662
-12312,-11748.38735,563.6126539,,12312,11748.46398,563.53602,,-12312,-12148.85948,-163.140524,,12312,12507.68319,195.6831933,,,-12312,367.8528267,,12312,400.4721299
-12348,-11783.44442,564.5555839,,12348,11783.31078,564.689218,,-12348,-12183.90071,-164.0992878,,12348,12544.82095,196.8209512,,,-12348,367.8682668,,12348,400.4562961
-12384,-11816.31777,567.6822283,,12384,11816.44377,567.5562316,,-12384,-12218.96927,-165.0307304,,12384,12581.99072,197.9907194,,,-12384,369.5655122,,12384,402.6514979
-12420,-11851.36954,568.6304586,,12420,11851.28394,568.7160611,,-12420,-12254.00512,-165.9948771,,12420,12619.13527,199.1352669,,,-12420,369.5807942,,12420,402.6355815
-12456,-11886.41858,569.5814234,,12456,11886.12094,569.8790563,,-12456,-12289.03824,-166.9617557,,12456,12656.28317,200.2831669,,,-12456,369.5958894,,12456,402.6196677
-12492,-11921.46488,570.5351218,,12492,11920.95478,571.0452193,,-12492,-12324.06863,-167.9313655,,12492,12693.43442,201.4344199,,,-12492,369.6107994,,12492,402.6037563
-12528,-11954.32814,573.6718624,,12528,11954.07408,573.9259236,,-12528,-12359.12668,-168.8733209,,12528,12730.61803,202.6180296,,,-12528,371.307894,,12528,404.7985415
-12564,-11989.36914,574.6308563,,12564,11988.90127,575.0987257,,-12564,-12394.15169,-169.8483087,,12564,12767.77608,203.7760762,,,-12564,371.3226495,,12564,404.7825476
-12600,-12024.40742,575.5925821,,12600,12023.7253,576.2747,,-12600,-12429.17397,-170.8260258,,12600,12804.93748,204.9374773,,,-12600,371.3372227,,12600,404.7665563
-12636,-12059.44296,576.5570391,,12636,12058.54615,577.4538485,,-12636,-12464.19353,-171.8064715,,12636,12842.10223,206.1022334,,,-12636,371.3516151,,12636,404.7505676
-12672,-12092.29613,579.7038665,,12672,12091.65175,580.3482483,,-12672,-12499.24107,-172.7589301,,12672,12879.29969,207.2996927,,,-12672,373.0485556,,12672,406.9449364
-12708,-12127.32639,580.6736141,,12708,12126.46596,581.5340435,,-12708,-12534.25525,-173.744749,,12708,12916.47125,208.4712463,,,-12708,373.0627972,,12708,406.9288651
-12744,-12162.35391,581.6460911,,12744,12161.27698,582.7230171,,-12744,-12569.26671,-174.7332946,,12744,12953.64616,209.6461564,,,-12744,373.0768607,,12744,406.9127965
-12780,-12197.3787,582.6212967,,12780,12196.08483,583.9151711,,-12780,-12604.27543,-175.7245664,,12780,12990.82442,210.8244234,,,-12780,373.0907477,,12780,406.8967303
-12816,-12230.2218,585.7782017,,12816,12228.95775,587.0422495,,-12816,-12639.31248,-176.6875186,,12816,13028.03954,212.0395373,,,-12816,375.0027122,,12816,409.0906831
-12852,-12265.24131,586.7586931,,12852,12263.75891,588.2410943,,-12852,-12674.31584,-177.6841585,,12852,13065.22462,213.2246169,,,-12852,375.0164774,,12852,409.0745346
-12888,-12300.25809,587.7419113,,12888,12298.55688,589.4431235,,-12888,-12709.31648,-178.6835226,,12888,13102.41305,214.4130549,,,-12888,375.0300686,,12888,409.0583887
-12924,-12335.27214,588.7278557,,12924,12333.35166,590.6483391,,-12924,-12744.31439,-179.6856104,,12924,13139.60485,215.6048517,,,-12924,375.0434874,,12924,409.0422453
-12960,-12368.10517,591.8948291,,12960,12365.77505,594.2249521,,-12960,-12779.34095,-180.6590467,,12960,13176.84153,216.841528,,,-12960,377.3834241,,12960,411.2357824
-12996,-12403.11395,592.8860544,,12996,12400.56306,595.436937,,-12996,-12814.3335,-181.6664977,,12996,13214.04016,218.0401634,,,-12996,377.3967736,,12996,411.2195567
-13032,-12438.12,593.880004,,13032,12435.34789,596.6521117,,-13032,-12849.32333,-182.6766704,,13032,13251.24216,219.2421592,,,-13032,377.4099525,,13032,411.2033336
-13068,-12473.12332,594.8766772,,13068,12470.12952,597.8704781,,-13068,-12884.31044,-183.6895642,,13068,13288.44752,220.4475158,,,-13068,377.4229623,,13068,411.187113
-13104,-12505.94629,598.0537096,,13104,12502.53908,601.4609179,,-13104,-12919.32653,-184.673475,,13104,13325.69823,221.6982314,,,-13104,379.7626865,,13104,413.3802346
-13140,-12540.94434,599.055659,,13140,12537.31394,602.6860584,,-13140,-12954.30827,-185.6917271,,13140,13362.91043,222.9104306,,,-13140,379.7756278,,13140,413.3639319
-13176,-12575.93967,600.0603301,,13176,12572.08561,603.9143941,,-13176,-12989.2873,-186.7126984,,13176,13400.12599,224.1259922,,,-13176,379.7884019,,13176,413.3476317
-13212,-12610.93228,601.0677224,,13212,12606.85407,605.1459266,,-13212,-13024.26361,-187.7363883,,13212,13437.34492,225.3449165,,,-13212,379.8010101,,13212,413.3313341
-13248,-12643.7452,604.2548047,,13248,12639.24981,608.7501947,,-13248,-13059.26924,-188.730764,,13248,13474.60968,226.6096798,,,-13248,382.1405149,,13248,415.5240407
-13284,-12678.73253,605.2674682,,13284,12674.01149,609.9885061,,-13284,-13094.24019,-189.7598073,,13284,13511.83545,227.8354507,,,-13284,382.1530554,,13284,415.5076609
-13320,-12713.71715,606.282851,,13320,12708.76998,611.2300179,,-13320,-13129.20843,-190.7915673,,13320,13549.06459,229.064586,,,-13320,382.1654319,,13320,415.4912837
-13356,-12748.69905,607.3009525,,13356,12743.52527,612.4747316,,-13356,-13164.17396,-191.8260434,,13356,13586.29709,230.2970861,,,-13356,382.1776455,,13356,415.4749091
-13392,-12781.50192,610.4980753,,13392,12775.90717,616.0928297,,-13392,-13199.16913,-192.8308745,,13392,13623.57591,231.5759053,,,-13392,384.5169244,,13392,417.6672008
-13428,-12816.47856,611.5214432,,13428,12810.65567,617.344327,,-13428,-13234.1293,-193.870699,,13428,13660.81526,232.815256,,,-13428,384.529071,,13428,417.6507442
-13464,-12851.45247,612.5475279,,13464,12845.40097,618.5990297,,-13464,-13269.08676,-194.9132377,,13464,13698.05797,234.0579731,,,-13464,384.5410566,,13464,417.6342902
-13500,-12886.42367,613.5763288,,13500,12880.14306,619.8569395,,-13500,-13304.04151,-195.95849,,13500,13735.30406,235.3040569,,,-13500,384.5528826,,13500,417.6178388
-13536,-12919.21652,616.783483,,13536,12912.51113,623.4888693,,-13536,-13339.02623,-196.9737671,,13536,13772.59694,236.5969405,,,-13536,386.8919288,,13536,419.8097159
-13572,-12954.18245,617.8175454,,13572,12947.24643,624.7535673,,-13572,-13373.97564,-198.0243629,,13572,13809.84988,237.849879,,,-13572,386.9036883,,13572,419.7931825
-13608,-12989.14568,618.8543221,,13608,12981.97852,626.0214757,,-13608,-13408.92233,-199.0776705,,13608,13847.10619,239.1061858,,,-13608,386.9152899,,13608,419.7766516
-13644,-13024.10619,619.8938125,,13644,13016.7074,627.2925961,,-13644,-13443.86631,-200.1336891,,13644,13884.36586,240.3658613,,,-13644,386.9267348,,13644,419.7601234
-13680,-13056.88901,623.110989,,13680,13049.06164,630.9383596,,-13680,-13478.8406,-201.1594026,,13680,13921.67282,241.6728178,,,-13680,389.2655418,,13680,421.9515864
-13716,-13091.84426,624.1557361,,13716,13083.78373,632.2162728,,-13716,-13513.77924,-202.2207598,,13716,13958.93935,242.939352,,,-13716,389.2769208,,13716,421.9349763
-13752,-13126.7968,625.2031951,,13752,13118.5026,633.4974013,,-13752,-13548.71517,-203.2848263,,13752,13996.20926,244.2092566,,,-13752,389.2881447,,13752,421.9183688
-13788,-13161.74663,626.2533652,,13788,13153.21825,634.7817467,,-13788,-13583.6484,-204.3516014,,13788,14033.48253,245.4825319,,,-13788,389.2992148,,13788,421.9017638
-13824,-13194.51945,629.4805547,,13824,13185.55865,638.441346,,-13824,-13618.61226,-205.3877418,,13824,14070.80357,246.8035695,,,-13824,391.6377765,,13824,424.0928129
-13860,-13229.46402,630.5359768,,13860,13220.26751,639.7324887,,-13860,-13653.54015,-206.4598506,,13860,14108.08371,248.0837076,,,-13860,391.6487811,,13860,424.0761262
-13896,-13264.40589,631.5941082,,13896,13254.97315,641.0268515,,-13896,-13688.46533,-207.5346661,,13896,14145.36722,249.367218,,,-13896,391.6596335,,13896,424.0594421
-13932,-13299.34505,632.6549483,,13932,13289.67556,642.324436,,-13932,-13723.38781,-208.6121878,,13932,14182.6541,250.6541011,,,-13932,391.6703349,,13932,424.0427605
-13968,-13332.10786,635.8921416,,13968,13322.00213,645.9978734,,-13968,-13758.34125,-209.6587456,,13968,14219.98923,251.9892283,,,-13968,394.0086451,,13968,426.233396
-14004,-13367.04177,636.9582288,,14004,13356.69774,647.3022598,,-14004,-13793.2584,-210.7415961,,14004,14257.28298,253.2829783,,,-14004,394.0192815,,14004,426.2166327
-14040,-13401.97298,638.027023,,14040,13391.39013,648.6098709,,-14040,-13828.17285,-211.8271508,,14040,14294.5801,254.5801026,,,-14040,394.0297683,,14040,426.1998722
-14076,-13436.90148,639.0985233,,14076,13426.07929,649.9207084,,-14076,-13863.08459,-212.9154092,,14076,14331.8806,255.8806015,,,-14076,394.0401069,,14076,426.1831141
-14112,-13469.65429,642.3457113,,14112,13458.39201,653.6079864,,-14112,-13898.02763,-213.972375,,14112,14369.22983,257.2298268,,,-14112,396.3781596,,14112,428.3733363
-14148,-13504.57755,643.4224539,,14148,13493.07437,654.9256302,,-14148,-13932.93404,-215.0659573,,14148,14406.5372,258.5371967,,,-14148,396.3884335,,14148,428.3564966
-14184,-13539.4981,644.501901,,14184,13527.7535,656.2465035,,-14184,-13967.83776,-216.1622414,,14184,14443.84794,259.8479429,,,-14184,396.3985606,,14184,428.3396596
-14220,-13574.41595,645.5840518,,14220,13562.42939,657.5706078,,-14220,-14002.73877,-217.2612266,,14220,14481.16207,261.1620658,,,-14220,396.408542,,14220,428.3228252
-14256,-13607.15877,648.8412253,,14256,13594.72827,661.271729,,-14256,-14037.67141,-218.328591,,14256,14518.5254,262.5253976,,,-14256,398.7463314,,14256,430.5126343
-14292,-13642.07139,649.9286136,,14292,13629.39736,662.602644,,-14292,-14072.5671,-219.4328953,,14292,14555.8464,263.8463955,,,-14292,398.7562485,,14292,430.4957183
-14328,-13676.9813,651.0187038,,14328,13664.06321,663.936793,,-14328,-14107.4601,-220.5398989,,14328,14593.17077,265.1707716,,,-14328,398.7660214,,14328,430.4788049
-14364,-13711.8885,652.1114953,,14364,13698.72582,665.2741775,,-14364,-14142.3504,-221.6496011,,14364,14630.49853,266.4985265,,,-14364,398.775651,,14364,430.4618942
-14400,-13744.62135,655.3786453,,14400,13731.01086,668.9891447,,-14400,-14177.27265,-222.7273546,,14400,14667.87597,267.8759733,,,-14400,401.1131714,,14400,432.6512907
-14436,-13779.52333,656.4766695,,14436,13765.66666,670.3333444,,-14436,-14212.15763,-223.8423711,,14436,14705.21061,269.2106073,,,-14436,401.1227371,,14436,432.6342984
-14472,-13814.42261,657.5773932,,14472,13800.31922,671.6807826,,-14472,-14247.03992,-224.9600843,,14472,14742.54862,270.5486215,,,-14472,401.1321611,,14472,432.6173089
-14508,-13849.31918,658.6808157,,14508,13834.96854,673.0314608,,-14508,-14281.91951,-226.0804937,,14508,14779.89002,271.8900165,,,-14508,401.1414443,,14508,432.600322
-14544,-13881.93807,662.0619256,,14544,13867.23972,676.7602769,,-14544,-14316.83305,-227.1669519,,14544,14817.28159,273.2815867,,,-14544,403.4786902,,14544,434.8949737
-14580,-13916.82943,663.170568,,14580,13901.88223,678.1177746,,-14580,-14351.70733,-228.2926668,,14580,14854.62986,274.6298649,,,-14580,403.4879097,,14580,434.8779012
-14616,-13951.71809,664.2819075,,14616,13936.52148,679.4785152,,-14616,-14386.57892,-229.421076,,14616,14891.98153,275.9815253,,,-14616,403.4969899,,14616,434.8608315
-14652,-13986.60406,665.3959432,,14652,13971.1575,680.8425002,,-14652,-14421.44782,-230.5521789,,14652,14929.33657,277.3365684,,,-14652,403.5059318,,14652,434.8437643
-14688,-14018.79042,669.2095847,,14688,14003.41483,684.5851682,,-14688,-14456.35789,-231.642115,,14688,14966.74227,278.7422706,,,-14688,405.8428976,,14688,437.5674697
-14724,-14053.6712,670.328803,,14724,14038.04402,685.9559771,,-14724,-14491.2215,-232.7785028,,14724,15004.1042,280.104201,,,-14724,405.8517761,,14724,437.5503002
-14760,-14088.54928,671.4507158,,14760,14072.66997,687.3300332,,-14760,-14526.08242,-233.9175825,,14760,15041.46952,281.4695158,,,-14760,405.8605174,,14760,437.5331333
-14796,-14123.42468,672.5753225,,14796,14107.29266,688.7073381,,-14796,-14560.94065,-235.0593534,,14796,15078.83822,282.8382152,,,-14796,405.8691229,,14796,437.5159691
-14832,-14155.60128,676.3987154,,14832,14139.53614,692.4638612,,-14832,-14595.84045,-236.159552,,14832,15116.25806,284.2580578,,,-14832,408.2058034,,14832,440.2391634
-14868,-14190.4715,677.5284999,,14868,14174.15201,693.8479943,,-14868,-14630.6934,-237.306603,,14868,15153.63365,285.6336487,,,-14868,408.2143456,,14868,440.2218969
-14904,-14225.33902,678.6609765,,14904,14208.76462,695.2353789,,-14904,-14665.54366,-238.4563433,,14904,15191.01263,287.0126258,,,-14904,408.2227531,,14904,440.2046332
-14940,-14260.20386,679.7961446,,14940,14243.37398,696.6260165,,-14940,-14700.39123,-239.6087725,,14940,15228.39499,288.3949897,,,-14940,408.2310268,,14940,440.1873721
-14976,-14292.37072,683.6292802,,14976,14275.6036,700.396398,,-14976,-14735.28078,-240.7192244,,14976,15265.82898,289.8289812,,,-14976,410.5674168,,14976,442.9100558
-15012,-14327.23038,684.7696213,,15012,14310.20613,701.7938681,,-15012,-14770.12307,-241.8769289,,15012,15303.21824,291.2182406,,,-15012,410.5756275,,15012,442.8926924
-15048,-14362.08735,685.9126521,,15048,14344.80541,703.194594,,-15048,-14804.96268,-243.0373203,,15048,15340.61089,292.6108883,,,-15048,410.5837057,,15048,442.8753318
-15084,-14396.94163,687.0583719,,15084,14379.40142,704.5985771,,-15084,-14839.7996,-244.200398,,15084,15378.00692,294.0069248,,,-15084,410.5916523,,15084,442.8579739
-15120,-14429.09876,690.9012412,,15120,14411.61718,708.3828204,,-15120,-14874.67891,-245.3210941,,15120,15415.45507,295.4550738,,,-15120,412.9277466,,15120,445.5801471
-15156,-14463.94787,692.0521294,,15156,14446.20636,709.7936403,,-15156,-14909.51056,-246.4894423,,15156,15452.85801,296.8580099,,,-15156,412.9356304,,15156,445.5626871
-15192,-14498.7943,693.2057049,,15192,14480.79228,711.2077201,,-15192,-14944.33953,-247.660475,,15192,15490.26434,298.2643363,,,-15192,412.9433838,,15192,445.5452299
-15228,-14533.63803,694.3619668,,15228,14515.37494,712.6250613,,-15228,-14979.16581,-248.8341915,,15228,15527.67405,299.6740535,,,-15228,412.9510078,,15228,445.5277753
-15264,-14565.78544,698.2145611,,15264,14547.57683,716.42317,,-15264,-15014.03488,-249.9651225,,15264,15565.13637,301.1363685,,,-15264,415.2868015,,15264,448.2494386
-15300,-14600.62401,699.3759868,,15300,14582.15265,717.8473522,,-15300,-15048.8559,-251.1441048,,15300,15602.55299,302.5529895,,,-15300,415.2943627,,15300,448.231882
-15336,-14635.4599,700.5400973,,15336,14616.7252,719.2747985,,-15336,-15083.67423,-252.3257691,,15336,15639.973,303.9730027,,,-15336,415.3017958,,15336,448.2143282
-15372,-14670.29311,701.7068919,,15372,14651.29449,720.7055101,,-15372,-15118.48989,-253.5101149,,15372,15677.39641,305.3964088,,,-15372,415.3091013,,15372,448.196777
-15408,-14702.4308,705.5692023,,15408,14683.48251,724.517488,,-15408,-15153.34873,-254.6512716,,15408,15714.8729,306.8728984,,,-15408,417.6445896,,15408,450.9179307
-15444,-14737.25884,706.7411559,,15444,14718.04496,725.9550449,,-15444,-15188.15912,-255.8408783,,15444,15752.30321,308.3032124,,,-15444,417.6518325,,15444,450.9002776
-15480,-14772.08421,707.9157919,,15480,14752.60413,727.39587,,-15480,-15222.96684,-257.0331646,,15480,15789.73692,309.7369207,,,-15480,417.6589493,,15480,450.8826273
-15516,-14806.90689,709.0931095,,15516,14787.16004,728.8399645,,-15516,-15257.77187,-258.2281298,,15516,15827.17402,311.1740239,,,-15516,417.6659406,,15516,450.8649797
-15552,-14839.03487,712.9651273,,15552,14819.33418,732.6658152,,-15552,-15292.6205,-259.3795031,,15552,15864.6647,312.6646966,,,-15552,420.0011186,,15552,453.5856242
-15588,-14873.8524,714.1475993,,15588,14853.88324,734.1167593,,-15588,-15327.42028,-260.5797246,,15588,15902.10871,314.1087118,,,-15588,420.0080475,,15588,453.5678747
-15624,-14908.66725,715.3327512,,15624,14888.42902,735.5709754,,-15624,-15362.21738,-261.7826232,,15624,15939.55612,315.5561234,,,-15624,420.014852,,15624,453.550128
-15660,-14943.47942,716.5205824,,15660,14922.97154,737.0284649,,-15660,-15397.0118,-262.9881983,,15660,15977.00693,317.0069318,,,-15660,420.0215331,,15660,453.5323841
-15696,-14975.5977,720.4022987,,15696,14955.13181,740.8681925,,-15696,-15431.85022,-264.149779,,15696,16014.5118,318.5117962,,,-15696,422.3563963,,15696,456.2525197
-15732,-15010.40472,721.5952796,,15732,14989.66746,742.3325358,,-15732,-15466.63939,-265.3606055,,15732,16051.96952,319.9695209,,,-15732,422.3630149,,15732,456.2346741
-15768,-15045.20906,722.790938,,15768,15024.19984,743.8001552,,-15768,-15501.42589,-266.5741068,,15768,16089.43064,321.4306439,,,-15768,422.3695113,,15768,456.2168312
-15804,-15080.01073,723.9892732,,15804,15058.72895,745.2710518,,-15804,-15536.20972,-267.7902821,,15804,16126.89517,322.8951658,,,-15804,422.375886,,15804,456.1989911
-15840,-15112.11932,727.8806792,,15840,15090.87534,749.1246603,,-15840,-15571.03794,-268.9620611,,15840,16164.41423,324.4142305,,,-15840,424.7104298,,15840,458.9186181
-15876,-15146.91584,729.0841595,,15876,15125.39759,750.602415,,-15876,-15605.81652,-270.1834832,,15876,16201.88567,325.8856728,,,-15876,424.7167422,,15876,458.9006763
-15912,-15181.70969,730.2903148,,15912,15159.91655,752.0834495,,-15912,-15640.59242,-271.4075774,,15912,16239.36052,327.3605154,,,-15912,424.7229341,,15912,458.8827374
-15948,-15216.50086,731.4991445,,15948,15194.43223,753.5677653,,-15948,-15675.36566,-272.6343434,,15948,16276.83876,328.838759,,,-15948,424.7290063,,15948,458.8648011
-15984,-15248.59977,735.4002315,,15984,15226.56474,757.4352588,,-15984,-15710.18369,-273.8163115,,15984,16314.37203,330.3720327,,,-15984,427.0632261,,15984,461.58392
-16020,-15283.3858,736.6142016,,16020,15261.07356,758.9264368,,-16020,-15744.95168,-275.0483194,,16020,16351.8572,331.8572008,,,-16020,427.069236,,16020,461.5658822
-16056,-15318.16916,737.8308444,,16056,15295.5791,760.4208985,,-16056,-15779.717,-276.2829971,,16056,16389.34577,333.3457714,,,-16056,427.0751271,,16056,461.5478473
-16092,-15352.94984,739.0501592,,16092,15330.08135,761.9186453,,-16092,-15814.47966,-277.5203441,,16092,16426.83774,334.8377449,,,-16092,427.0809004,,16092,461.5298151
-16128,-15385.03908,742.9609184,,16128,15362.19997,765.8000281,,-16128,-15849.28751,-278.7124923,,16128,16464.38524,336.3852361,,,-16128,429.414792,,16128,464.2484261
-16164,-15419.81463,744.1853689,,16164,15396.69536,767.3046412,,-16164,-15884.04492,-279.9550764,,16164,16501.88414,337.8841383,,,-16164,429.4205029,,16164,464.2302925
-16200,-15454.58751,745.4124897,,16200,15431.18746,768.8125419,,-16200,-15918.79967,-281.200328,,16200,16539.38644,339.386445,,,-16200,429.4260969,,16200,464.2121617
-16236,-15489.35772,746.64228,,16236,15465.67627,770.3237314,,-16236,-15953.55175,-282.4482463,,16236,16576.89216,340.8921566,,,-16236,429.4315748,,16236,464.1940337
-16272,-15521.4373,750.5627028,,16272,15497.78099,774.2190079,,-16272,-15988.34943,-283.6505654,,16272,16614.45387,342.453874,,,-16272,431.7651339,,16272,466.9121374
-16308,-15556.20238,751.7976242,,16308,15532.26293,775.7370679,,-16308,-16023.09628,-284.9037163,,16308,16651.96652,343.9665186,,,-16308,431.7705493,,16308,466.8939079
-16344,-15590.96479,753.0352134,,16344,15566.74158,777.2584193,,-16344,-16057.84047,-286.1595321,,16344,16689.48257,345.4825697,,,-16344,431.7758496,,16344,466.8756813
-16380,-15625.72453,754.2754699,,16380,15601.21694,778.7830633,,-16380,-16092.58199,-287.4180123,,16380,16727.00203,347.0020277,,,-16380,431.7810356,,16380,466.8574576
-16416,-15657.79445,758.2055474,,16416,15633.30776,782.6922378,,-16416,-16127.36951,-288.6304932,,16416,16764.57798,348.57798,,,-16416,434.1142578,,16416,469.5750542
-16452,-15692.54907,759.4509303,,16452,15667.77624,784.2237565,,-16452,-16162.1058,-289.8942011,,16452,16802.10438,350.1043752,,,-16452,434.1193813,,16452,469.5567292
-16488,-15727.30102,760.6989786,,16488,15702.24143,785.7585702,,-16488,-16196.83943,-291.1605717,,16488,16839.63418,351.6341789,,,-16488,434.1243913,,16488,469.5384069
-16524,-15762.05031,761.9496917,,16524,15736.70332,787.2966802,,-16524,-16231.5704,-292.4296041,,16524,16877.16739,353.1673916,,,-16524,434.1292886,,16524,469.5200876
