P_Ac_in (W),P_Batt_in (W),P_loss_in,,P_Ac_out,P_Batt_out,P_loss_out,,P_Ac_in (W),P_Batt_in (W),P_loss_in,,P_Ac_out,P_Batt_out,P_loss_out,,,P_AC_out_only_PE,,,P_Ac_in_only_PE,
-1368,-1086.957629,281.0423712,,1368,1133.251291,234.7487089,,-1368,-1366.302509,-1.697491343,,1368,1370.782793,2.782792767,,,-1368,231.9659161,,1368,279.3448799
-1404,-1122.866928,281.1330723,,1404,1168.110908,235.8890917,,-1404,-1402.200357,-1.799643372,,1404,1406.918543,2.918542622,,,-1404,232.9705491,,1404,279.3334289
-1440,-1157.820546,282.1794542,,1440,1202.81336,237.1866398,,-1440,-1438.096831,-1.903169497,,1440,1443.058004,3.058003859,,,-1440,234.1286359,,1440,280.2762847
-1476,-1193.724043,282.2759566,,1476,1237.747518,238.2524822,,-1476,-1473.988842,-2.011158156,,1476,1479.20019,3.200190301,,,-1476,235.0522919,,1476,280.2647984
-1512,-1229.624602,282.3753976,,1512,1272.71607,239.2839299,,-1512,-1509.877917,-2.12208348,,1512,1515.345589,3.345589418,,,-1512,235.9383405,,1512,280.2533141
-1548,-1265.522224,282.4777763,,1548,1307.716795,240.2832046,,-1548,-1545.764055,-2.235944748,,1548,1551.494202,3.494201644,,,-1548,236.789003,,1548,280.2418316
-1584,-1300.464477,283.5355233,,1584,1342.545222,241.454778,,-1584,-1581.648978,-2.351021962,,1584,1587.646577,3.646577136,,,-1584,237.8082009,,1584,281.1845013
-1620,-1336.356302,283.6436976,,1620,1377.602937,242.3970625,,-1620,-1617.529286,-2.47071417,,1620,1623.801629,3.801629418,,,-1620,238.5954331,,1620,281.1729834
-1656,-1372.245192,283.7548076,,1656,1412.687173,243.3128273,,-1656,-1653.40666,-2.593340174,,1656,1659.959896,3.959896107,,,-1656,239.3529312,,1656,281.1614674
-1692,-1408.131147,283.8688526,,1692,1447.796299,244.2037007,,-1692,-1689.281101,-2.718899255,,1692,1696.121378,4.121377635,,,-1692,240.0823231,,1692,281.1499533
-1728,-1443.062047,284.9379534,,1728,1482.721271,245.278729,,-1728,-1725.154484,-2.845516336,,1728,1732.286674,4.286674354,,,-1728,240.9920546,,1728,282.0924371
-1764,-1478.942212,285.0577883,,1764,1517.874563,246.1254368,,-1764,-1761.023099,-2.976900676,,1764,1768.454599,4.454599413,,,-1764,241.6708374,,1764,282.0808876
-1800,-1514.819444,285.1805561,,1800,1553.04856,246.95144,,-1800,-1796.888784,-3.111215948,,1800,1804.625741,4.625740613,,,-1800,242.3256994,,1800,282.0693402
-1836,-1550.693744,285.3062559,,1836,1588.242041,247.7579594,,-1836,-1832.751539,-3.248461433,,1836,1840.800098,4.800098388,,,-1836,242.957861,,1836,282.0577945
-1872,-1585.6133,286.3866996,,1872,1623.241851,248.758149,,-1872,-1868.613393,-3.386607179,,1872,1876.978323,4.978323313,,,-1872,243.7798257,,1872,283.0000924
-1908,-1621.481816,286.5181837,,1908,1658.469909,249.5300915,,-1908,-1904.470328,-3.529672251,,1908,1913.159128,5.159128098,,,-1908,244.3709634,,1908,282.9885114
-1944,-1657.347402,286.6525978,,1944,1693.714283,250.2857175,,-1944,-1940.324335,-3.675665396,,1944,1949.343151,5.343150759,,,-1944,244.9425667,,1944,282.9769324
-1980,-1693.210059,286.7899412,,1980,1728.97404,251.0259605,,-1980,-1976.175414,-3.824585895,,1980,1985.530392,5.530391731,,,-1980,245.4955688,,1980,282.9653553
-2016,-1728.118283,287.8817166,,2016,1764.032333,251.9676666,,-2016,-2012.025751,-3.974249124,,2016,2021.721552,5.721551855,,,-2016,246.2461147,,2016,283.9074675
-2052,-1763.975161,288.0248387,,2052,1799.319355,252.6806452,,-2052,-2047.871016,-4.128983547,,2052,2057.915243,5.915243322,,,-2052,246.7654019,,2052,283.8958552
-2088,-1799.829112,288.1708878,,2088,1834.619319,253.3806814,,-2088,-2083.713357,-4.286643189,,2088,2094.112154,6.112154405,,,-2088,247.268527,,2088,283.8842446
-2124,-1835.680137,288.3198633,,2124,1869.931499,254.0685011,,-2124,-2119.552773,-4.447227331,,2124,2130.312286,6.312285538,,,-2124,247.7562156,,2124,283.872636
-2160,-1870.57704,289.4229596,,2160,1905.035722,254.9642782,,-2160,-2155.391603,-4.608396875,,2160,2166.516388,6.516387861,,,-2160,248.4478903,,2160,284.8145627
-2196,-1906.422292,289.5777081,,2196,1940.369493,255.6305074,,-2196,-2191.225211,-4.774789289,,2196,2202.722973,6.722972978,,,-2196,248.9075344,,2196,284.8029188
-2232,-1942.264619,289.735381,,2232,1975.713569,256.2864313,,-2232,-2227.055896,-4.944104069,,2232,2238.932779,6.932779452,,,-2232,249.3536518,,2232,284.7912769
-2268,-1978.104023,289.8959773,,2268,2011.067377,256.9326234,,-2268,-2262.883659,-5.116340502,,2268,2275.145808,7.145807718,,,-2268,249.7868157,,2268,284.7796368
-2304,-2012.989617,291.0103834,,2304,2046.207734,257.792266,,-2304,-2298.710995,-5.289005214,,2304,2311.362859,7.362859252,,,-2304,250.4294067,,2304,285.7213782
-2340,-2048.823253,291.1767472,,2340,2081.578663,258.4213374,,-2340,-2334.532956,-5.467044273,,2340,2347.582345,7.582344997,,,-2340,250.8389924,,2340,285.7097029
-2376,-2084.653968,291.3460325,,2376,2116.957805,259.0421951,,-2376,-2370.351997,-5.648002854,,2376,2383.805054,7.805053842,,,-2376,251.2371413,,2376,285.6980296
-2412,-2120.481762,291.5182384,,2412,2152.344702,259.6552978,,-2412,-2406.16812,-5.831880242,,2412,2420.030986,8.030986224,,,-2412,251.6243116,,2412,285.6863582
-2448,-2155.356057,292.6439432,,2448,2187.513442,260.4865579,,-2448,-2441.983971,-6.016028993,,2448,2456.260994,8.26099399,,,-2448,252.2255639,,2448,286.6279142
-2484,-2191.178089,292.821911,,2484,2222.913891,261.0861093,,-2484,-2477.794297,-6.205703372,,2484,2492.493387,8.49338735,,,-2484,252.592722,,2484,286.6162076
-2520,-2226.997203,293.0027974,,2520,2258.320873,261.6791271,,-2520,-2513.601706,-6.398294432,,2520,2528.729006,8.729005557,,,-2520,252.9501215,,2520,286.604503
-2556,-2262.813398,293.1866017,,2556,2293.734017,262.2659831,,-2556,-2549.406199,-6.59380146,,2556,2564.967849,8.967849046,,,-2556,253.2981341,,2556,286.5928002
-2592,-2297.676406,294.3235943,,2592,2328.924925,263.075075,,-2592,-2585.210577,-6.789423137,,2592,2601.21082,9.210820076,,,-2592,253.8642549,,2592,287.5341712
-2628,-2333.486845,294.5131548,,2628,2364.348736,263.6512643,,-2628,-2621.009278,-6.99072153,,2628,2637.456128,9.456128049,,,-2628,254.1951363,,2628,287.5224333
-2664,-2369.294369,294.705631,,2664,2399.777714,264.2222856,,-2664,-2656.805066,-7.194933767,,2664,2673.704663,9.704662618,,,-2664,254.517623,,2664,287.5106972
-2700,-2405.098978,294.9010223,,2700,2435.211557,264.7884432,,-2700,-2692.597941,-7.402059136,,2700,2709.956424,9.956424218,,,-2700,254.832019,,2700,287.4989632
-2736,-2439.950708,296.0492918,,2736,2470.419594,265.580406,,-2736,-2728.390857,-7.609142646,,2736,2746.212366,10.21236555,,,-2736,255.3680405,,2736,288.4401492
-2772,-2475.749566,296.2504338,,2772,2505.861746,266.1382537,,-2772,-2764.177946,-7.822053764,,2772,2782.470595,10.47059515,,,-2772,255.6676586,,2772,288.42838
-2808,-2511.545511,296.4544887,,2808,2541.307945,266.6920549,,-2808,-2799.962124,-8.037875893,,2808,2818.732053,10.73205309,,,-2808,255.9600018,,2808,288.4166128
-2844,-2547.338544,296.6614558,,2844,2576.757939,267.2420611,,-2844,-2835.743392,-8.256608325,,2844,2854.99674,10.99673981,,,-2844,256.2453213,,2844,288.4048475
-2880,-2582.179009,297.8209912,,2880,2611.730682,268.2693182,,-2880,-2871.524857,-8.475142592,,2880,2891.26673,11.26672952,,,-2880,257.0025887,,2880,289.3458486
-2916,-2617.966297,298.0337034,,2916,2647.186491,268.813509,,-2916,-2907.300345,-8.699655163,,2916,2927.537901,11.53790124,,,-2916,257.2756078,,2916,289.3340482
-2952,-2653.750674,298.2493256,,2952,2682.645429,269.3545712,,-2952,-2943.072924,-8.927075919,,2952,2963.812303,11.81230306,,,-2952,257.5422681,,2952,289.3222497
-2988,-2689.532143,298.4678573,,2988,2718.107285,269.8927152,,-2988,-2978.842596,-9.157404151,,2988,3000.089935,12.08993542,,,-2988,257.8027798,,2988,289.3104531
-3024,-2724.361352,299.6386477,,3024,2752.641994,271.3580064,,-3024,-3014.612622,-9.387378117,,3024,3036.374978,12.37497772,,,-3024,258.9830287,,3024,290.2512696
-3060,-2760.137081,299.8629189,,3060,2788.10721,271.8927902,,-3060,-3050.376519,-9.62348089,,3060,3072.659123,12.65912261,,,-3060,259.2336676,,3060,290.239438
-3096,-2795.909903,300.0900974,,3096,2823.574804,272.4251956,,-3096,-3086.137511,-9.862489025,,3096,3108.946499,12.94649936,,,-3096,259.4786962,,3096,290.2276084
-3132,-2831.679818,300.3201825,,3132,2859.0446,272.9554003,,-3132,-3121.895598,-10.10440182,,3132,3145.237108,13.23710842,,,-3132,259.7182919,,3132,290.2157807
-3168,-2866.497783,301.502217,,3168,2893.579864,274.4201357,,-3168,-3157.654196,-10.34580444,,3168,3181.53533,13.53532977,,,-3168,260.8848059,,3168,291.1564126
-3204,-2902.261964,301.738036,,3204,2929.051817,274.9481835,,-3204,-3193.406514,-10.59348618,,3204,3217.832455,13.83245493,,,-3204,261.1157286,,3204,291.1445498
-3240,-2938.02324,301.9767595,,3240,2964.525513,275.4744871,,-3240,-3229.15593,-10.84407046,,3240,3254.132814,14.13281371,,,-3240,261.3416734,,3240,291.132689
-3276,-2973.781613,302.2183868,,3276,3000.000802,275.9991978,,-3276,-3264.902443,-11.09755659,,3276,3290.436407,14.43640657,,,-3276,261.5627912,,3276,291.1208302
-3312,-3008.588345,303.4116545,,3312,3034.5348,277.4651997,,-3312,-3300.649623,-11.35037685,,3312,3326.747814,14.74781422,,,-3312,262.7173855,,3312,292.0612777
-3348,-3044.34099,303.6590102,,3348,3070.01123,277.9887699,,-3348,-3336.390374,-11.60962634,,3348,3363.057927,15.05792674,,,-3348,262.9308432,,3348,292.0493839
-3384,-3080.090732,303.9092675,,3384,3105.488864,278.5111358,,-3384,-3372.128224,-11.87177556,,3384,3399.371275,15.37127467,,,-3384,263.1398611,,3384,292.0374919
-3420,-3115.837574,304.1624258,,3420,3140.967573,279.0324272,,-3420,-3407.863176,-12.13682381,,3420,3435.687858,15.68785843,,,-3420,263.3445688,,3420,292.025602
-3456,-3150.633084,305.3669159,,3456,3175.498775,280.5012249,,-3456,-3443.598949,-12.4010507,,3456,3472.01246,16.01245964,,,-3456,264.4887653,,3456,292.9658652
-3492,-3186.374203,305.6257971,,3492,3210.97776,281.0222401,,-3492,-3479.328143,-12.67185675,,3492,3508.335567,16.33556664,,,-3492,264.6866735,,3492,292.9539404
-3528,-3222.112423,305.8875771,,3528,3246.457486,281.5425141,,-3528,-3515.05444,-12.94555972,,3528,3544.661911,16.66191082,,,-3528,264.8806033,,3528,292.9420174
-3564,-3257.847745,306.1522552,,3564,3281.937841,282.0621587,,-3564,-3550.777841,-13.2221589,,3564,3580.991493,16.99149261,,,-3564,265.0706661,,3564,292.9300963
-3600,-3292.632043,307.3679569,,3600,3316.464956,283.5350436,,-3600,-3586.502219,-13.49778144,,3600,3617.329295,17.32929464,,,-3600,266.205749,,3600,293.8701755
-3636,-3328.361648,307.6383524,,3636,3351.944848,284.0551519,,-3636,-3622.219867,-13.78013286,,3636,3653.665403,17.66540325,,,-3636,266.3897487,,3636,293.8582195
-3672,-3364.088356,307.9116439,,3672,3387.425082,284.5749182,,-3672,-3657.934622,-14.06537839,,3672,3690.004751,18.0047508,,,-3672,266.5701674,,3672,293.8462655
-3708,-3399.812169,308.1878308,,3708,3422.90556,285.0944397,,-3708,-3693.646483,-14.35351734,,3708,3726.347338,18.34733775,,,-3708,266.747102,,3708,293.8343135
-3744,-3434.585267,309.4147331,,3744,3457.427491,286.5725095,,-3744,-3729.359475,-14.64052455,,3744,3762.698348,18.69834788,,,-3744,267.8741616,,3744,294.7742086
-3780,-3470.303368,309.6966319,,3780,3492.906868,287.0931317,,-3780,-3765.06559,-14.93441019,,3780,3799.047465,19.04746523,,,-3780,268.0456665,,3780,294.7622217
-3816,-3506.018576,309.9814239,,3816,3528.386242,287.6137584,,-3816,-3800.768813,-15.23118713,,3816,3835.399823,19.3998233,,,-3816,268.2139351,,3816,294.7502368
-3852,-3541.730892,310.2691084,,3852,3563.865526,288.1344743,,-3852,-3836.469145,-15.5308547,,3852,3871.755423,19.75542254,,,-3852,268.3790518,,3852,294.7382537
-3888,-3576.492799,311.5072006,,3888,3598.381333,289.6186671,,-3888,-3872.170764,-15.82923563,,3888,3908.119648,20.11964807,,,-3888,269.499019,,3888,295.677965
-3924,-3612.199409,311.8005915,,3924,3633.858965,290.1410354,,-3924,-3907.865356,-16.13464433,,3924,3944.481781,20.4817813,,,-3924,269.6592541,,3924,295.6659472
-3960,-3647.903127,312.0968728,,3960,3669.33629,290.6637102,,-3960,-3943.557058,-16.44294155,,3960,3980.847157,20.84715704,,,-3960,269.8165532,,3960,295.6539313
-3996,-3683.603956,312.3960439,,3996,3704.813234,291.186766,,-3996,-3979.245873,-16.7541266,,3996,4017.215776,21.21577571,,,-3996,269.9709903,,3996,295.6419173
-4032,-3718.252814,313.7471862,,4032,3739.322112,292.6778877,,-4032,-4014.936595,-17.0634048,,4032,4053.593224,21.59322394,,,-4032,271.0846638,,4032,296.6837814
-4068,-3753.94795,314.0520498,,4068,3774.796924,293.2030759,,-4068,-4050.619679,-17.38032136,,4068,4089.96838,21.96838021,,,-4068,271.2346957,,4068,296.6717284
