P_AC_out_only_PE,,,P_Ac_in_only_PE,
-5184,282.7276152,,5184,307.5642046
-5220,282.8219226,,5220,307.5517576
-5256,282.9148316,,5256,307.5393125
-5292,283.006369,,5292,307.5268696
-5328,284.0857958,,5328,308.9223643
-5364,284.1753358,,5364,308.9098684
-5400,284.2635724,,5400,308.8973743
-5436,284.3505301,,5436,308.8848824
-5472,285.4276993,,5472,310.2801047
-5508,285.5128055,,5508,310.2675598
-5544,285.5966944,,5544,310.2550169
-5580,285.6793884,,5580,310.242476
-5616,286.7544915,,5616,311.6374261
-5652,286.8354659,,5652,311.6248324
-5688,286.9153014,,5688,311.6122407
-5724,286.9940185,,5724,311.5996509
-5760,288.0672265,,5760,312.9943289
-5796,288.1443434,,5796,312.9816864
-5832,288.220393,,5832,312.9690458
-5868,288.2953939,,5868,312.9564074
-5904,289.3668599,,5904,314.3508135
-5940,289.440369,,5940,314.3381222
-5976,289.5128761,,5976,314.3254331
-6012,289.5843984,,6012,314.3127459
-6048,290.6542601,,6048,315.7068804
-6084,290.7243892,,6084,315.6941404
-6120,290.7935762,,6120,315.6814025
-6156,290.8618367,,6156,315.6686666
-6192,292.0418545,,6192,317.0625297
-6228,292.1088681,,6228,317.0497412
-6264,292.174994,,6264,317.0369547
-6300,292.2402464,,6300,317.0241703
-6336,293.9432006,,6336,318.4177621
-6372,294.0075379,,6372,318.404925
-6408,294.0710344,,6408,318.39209
-6444,294.1337034,,6444,318.379257
-6480,295.8363362,,6480,319.7725778
-6516,295.8981475,,6516,319.7596922
-6552,295.9591614,,6552,319.7468088
-6588,296.0193901,,6588,319.7339274
-6624,297.721736,,6624,321.1269772
-6660,297.7811597,,6660,321.1140433
-6696,297.8398259,,6696,321.1011114
-6732,297.8977465,,6732,321.0881816
-6768,299.5998356,,6768,322.4809609
-6804,299.6569991,,6804,322.4679785
-6840,299.7134425,,6840,322.4549984
-6876,299.7691766,,6876,322.4420202
-6912,301.4710351,,6912,323.834529
-6948,301.5260565,,6948,323.8214985
-6984,301.5803924,,6984,323.80847
-7020,301.6340529,,7020,323.7954435
-7056,303.3357032,,7056,325.1876821
-7092,303.3886917,,7092,325.1746034
-7128,303.4410268,,7128,325.1615266
-7164,303.4927182,,7164,325.148452
-7200,305.19418,,7200,326.5404206
-7236,305.2452368,,7236,326.5272935
-7272,305.2956703,,7272,326.5141687
-7308,305.3454894,,7308,326.5010459
-7344,307.0467796,,7344,327.8927446
-7380,307.0959987,,7380,327.8795696
-7416,307.1446227,,7416,327.8663966
-7452,307.1926595,,7452,327.8532257
-7488,308.8937925,,7488,329.262208
-7524,308.9412615,,7524,329.2489843
